millis,raw_data_hex
3730,55 08 00 04 05 02 0f 4f 18 55
3893,55 16 00 04 01 02 47 32 34 56
4082,55 08 00 03 04 0c 03 1b c9 55
4191,55 0a 00 04 03 05 01 00 ff 1d
4390,55 0b 00 04 03 06 00 00 80 3f
4489,55 0a 00 04 03 07 01 01 01 9c
4959,55 0a 00 04 03 05 01 01 01 9d
5058,55 0a 00 04 03 05 01 01 01 9d
5257,55 0a 00 04 03 07 01 01 03 1d
8734,55 0b 00 04 03 06 00 00 a0 42
13701,55 0b 00 04 03 06 00 00 80 3f
14694,55 0a 00 04 03 07 01 01 01 9c
15191,55 0a 00 04 03 07 01 01 02 dc
16284,55 0a 00 04 03 07 01 01 03 1d
18669,55 0b 00 04 03 06 00 00 00 40
20159,55 0a 00 04 03 07 01 01 01 9c
20656,55 0a 00 04 03 07 01 01 02 dc
23636,55 0b 00 04 03 06 00 00 80 3f
26120,55 0a 00 04 03 07 01 01 03 1d
26717,55 0a 00 04 03 07 01 01 02 dc
27611,55 0a 00 04 03 07 01 01 03 1d
28605,55 0b 00 04 03 06 00 00 80 3f
28704,55 0a 00 04 03 07 01 01 02 dc
30195,55 0a 00 04 03 07 01 01 03 1d
31089,55 0a 00 04 03 07 01 01 02 dc
32083,55 0a 00 04 03 07 01 01 01 9c
32579,55 0a 00 04 03 07 01 01 02 dc
33573,55 0b 00 04 03 06 00 00 00 40
34567,55 0a 00 04 03 07 01 01 01 9c
35561,55 0a 00 04 03 07 01 01 02 dc
38542,55 0b 00 04 03 06 00 00 00 40
40033,55 0a 00 04 03 07 01 01 03 1d
40530,55 0a 00 04 03 07 01 01 01 9c
41026,55 0a 00 04 03 07 01 01 02 dc
41523,55 0a 00 04 03 07 01 01 01 9c
42020,55 0a 00 04 03 07 01 01 02 dc
43511,55 0b 00 04 03 06 00 00 00 40
44008,55 0a 00 04 03 07 01 01 03 1d
46492,55 0a 00 04 03 07 01 01 01 9c
46989,55 0a 00 04 03 07 01 01 02 dc
48480,55 0b 00 04 03 06 00 00 00 40
48977,55 0a 00 04 03 07 01 01 01 9c
49474,55 0a 00 04 03 07 01 01 02 dc
53449,55 0b 00 04 03 06 00 00 60 41
56430,55 0a 00 04 03 07 01 01 03 1d
56927,55 0a 00 04 03 07 01 01 02 dc
57921,55 0a 00 04 03 07 01 01 03 1d
58418,55 0b 00 04 03 06 00 00 00 40
58915,55 0a 00 04 03 07 01 01 02 dc
63387,55 0b 00 04 03 06 00 00 00 40
68356,55 0b 00 04 03 06 00 00 00 40
73326,55 0b 00 04 03 06 00 00 00 40
74816,55 0a 00 04 03 07 01 01 01 9c
75313,55 0a 00 04 03 07 01 01 02 dc
77798,55 0a 00 04 03 07 01 01 01 9c
78295,55 0b 00 04 03 06 00 00 00 40
78395,55 0a 00 04 03 07 01 01 02 dc
81277,55 0a 00 04 03 07 01 01 01 9c
82768,55 0a 00 04 03 07 01 01 02 dc
83265,55 0b 00 04 03 06 00 00 00 40
84258,55 0a 00 04 03 07 01 01 01 9c
85749,55 0a 00 04 03 07 01 01 02 dc
87737,55 0a 00 04 03 07 01 01 03 1d
88234,55 0b 00 04 03 06 00 00 20 41
93204,55 0b 00 04 03 06 00 00 c8 42
96782,55 0a 00 04 03 07 01 01 01 9c
97279,55 0a 00 04 03 07 01 01 03 1d
98174,55 0b 00 04 03 06 00 00 00 40
98273,55 0a 00 04 03 07 01 01 02 dc
99168,55 0a 00 04 03 07 01 01 03 1d
103143,55 0b 00 04 03 06 00 00 00 40
105131,55 0a 00 04 03 07 01 01 01 9c
106125,55 0a 00 04 03 07 01 01 03 1d
108113,55 0b 00 04 03 06 00 00 00 40
108610,55 0a 00 04 03 07 01 01 02 dc
109604,55 0a 00 04 03 07 01 01 01 9c
110101,55 0a 00 04 03 07 01 01 03 1d
113083,55 0b 00 04 03 06 00 00 4c 42
118152,55 0b 00 04 03 06 00 00 00 40
118252,55 0a 00 04 03 07 01 01 02 dc
123023,55 0b 00 04 03 06 00 00 00 40
127993,55 0b 00 04 03 06 00 00 00 40
128092,55 0a 00 04 03 07 01 01 01 9c
128987,55 0a 00 04 03 07 01 01 02 dc
129484,55 0a 00 04 03 07 01 01 01 9c
129981,55 0a 00 04 03 07 01 01 02 dc
132466,55 0a 00 04 03 07 01 01 03 1d
132963,55 0b 00 04 03 06 00 00 00 40
133957,55 0a 00 04 03 07 01 01 02 dc
134951,55 0a 00 04 03 07 01 01 03 1d
135448,55 0a 00 04 03 07 01 01 02 dc
135945,55 0a 00 04 03 07 01 01 01 9c
136442,55 0a 00 04 03 07 01 01 02 dc
137436,55 0a 00 04 03 07 01 01 01 9c
137933,55 0b 00 04 03 06 00 00 00 40
138033,55 0a 00 04 03 07 01 01 02 dc
138430,55 0a 00 04 03 07 01 01 03 1d
138927,55 0a 00 04 03 07 01 01 01 9c
139424,55 0a 00 04 03 07 01 01 02 dc
142904,55 0b 00 04 03 06 00 00 00 40
145886,55 0a 00 04 03 07 01 01 03 1d
146383,55 0a 00 04 03 07 01 01 02 dc
147874,55 0b 00 04 03 06 00 00 50 41
152844,55 0b 00 04 03 06 00 00 00 40
154335,55 0a 00 04 03 07 01 01 03 1d
155826,55 0a 00 04 03 07 01 01 02 dc
157814,55 0b 00 04 03 06 00 00 00 40
159802,55 0a 00 04 03 07 01 01 03 1d
