millis,raw_data_hex
3727,55 08 00 04 05 02 0f 4f 18 55
3890,55 16 00 04 01 02 47 32 34 56
4079,55 08 00 03 04 0c 03 1b c9 55
4187,55 0a 00 04 03 05 01 00 ff 1d
4386,55 0b 00 04 03 06 00 00 80 3f
4485,55 0a 00 04 03 07 01 01 01 9c
5848,55 0a 00 04 03 05 01 01 01 9d
5947,55 0a 00 04 03 05 01 01 01 9d
6741,55 0a 00 04 03 07 01 01 02 dc
7238,55 0a 00 04 03 07 01 01 01 9c
7734,55 0a 00 04 03 07 01 01 03 1d
8726,55 0b 00 04 03 06 00 00 00 40
8826,55 0a 00 04 03 07 01 01 02 dc
9719,55 0a 00 04 03 07 01 01 03 1d
10215,55 0a 00 04 03 07 01 01 02 dc
10712,55 0a 00 04 03 07 01 01 01 9c
11208,55 0a 00 04 03 07 01 01 03 1d
12697,55 0a 00 04 03 07 01 01 02 dc
13194,55 0a 00 04 03 07 01 01 01 9c
13690,55 0b 00 04 03 06 00 00 00 40
13789,55 0a 00 04 03 07 01 01 03 1d
16171,55 0a 00 04 03 07 01 01 01 9c
16668,55 0a 00 04 03 07 01 01 02 dc
17661,55 0a 00 04 03 07 01 01 03 1d
18753,55 0b 00 04 03 06 00 00 80 3f
23717,55 0b 00 04 03 06 00 00 e8 41
27688,55 0a 00 04 03 07 01 01 02 dc
28085,55 0a 00 04 03 07 01 01 03 1d
28582,55 0b 00 04 03 06 00 00 80 3f
33547,55 0b 00 04 03 06 00 00 00 42
33646,55 0a 00 04 03 07 01 01 01 9c
34540,55 0a 00 04 03 07 01 01 03 1d
38611,55 0b 00 04 03 06 00 00 80 3f
43576,55 0b 00 04 03 06 00 00 00 40
44469,55 0a 00 04 03 07 01 01 02 dc
46456,55 0a 00 04 03 07 01 01 03 1d
48442,55 0b 00 04 03 06 00 00 98 42
53506,55 0b 00 04 03 06 00 00 34 42
53605,55 0a 00 04 03 07 01 01 01 9c
53903,55 0a 00 04 03 07 01 01 03 1d
