millis,raw_data_hex
3728,55 08 00 04 05 02 0f 4f 18 55
3891,55 16 00 04 01 02 47 32 34 56
4080,55 08 00 03 04 0c 03 1b c9 55
4189,55 0a 00 04 03 05 01 00 ff 1d
4387,55 0b 00 04 03 06 00 00 80 3f
4487,55 0a 00 04 03 07 01 01 01 9c
4857,55 0a 00 04 03 05 01 01 01 9d
4956,55 0a 00 04 03 05 01 01 01 9d
5254,55 0a 00 04 03 07 01 01 03 1d
6247,55 0a 00 04 03 07 01 01 02 dc
6744,55 0a 00 04 03 07 01 01 03 1d
8829,55 0b 00 04 03 06 00 00 c8 42
13695,55 0b 00 04 03 06 00 00 80 3f
16178,55 0a 00 04 03 07 01 01 01 9c
16674,55 0a 00 04 03 07 01 01 02 dc
17766,55 0a 00 04 03 07 01 01 03 1d
18660,55 0b 00 04 03 06 00 00 80 3f
20249,55 0a 00 04 03 07 01 01 01 9c
20647,55 0a 00 04 03 07 01 01 02 dc
21143,55 0a 00 04 03 07 01 01 01 9c
21640,55 0a 00 04 03 07 01 01 02 dc
22136,55 0a 00 04 03 07 01 01 01 9c
22732,55 0a 00 04 03 07 01 01 03 1d
23626,55 0b 00 04 03 06 00 00 c8 42
25115,55 0a 00 04 03 07 01 01 02 dc
25611,55 0a 00 04 03 07 01 01 01 9c
26605,55 0a 00 04 03 07 01 01 03 1d
28592,55 0b 00 04 03 06 00 00 80 3f
31571,55 0a 00 04 03 07 01 01 02 dc
32564,55 0a 00 04 03 07 01 01 03 1d
33557,55 0b 00 04 03 06 00 00 00 40
34551,55 0a 00 04 03 07 01 01 02 dc
35544,55 0a 00 04 03 07 01 01 01 9c
36040,55 0a 00 04 03 07 01 01 03 1d
38523,55 0b 00 04 03 06 00 00 24 42
39517,55 0a 00 04 03 07 01 01 01 9c
40013,55 0a 00 04 03 07 01 01 02 dc
42496,55 0a 00 04 03 07 01 01 03 1d
43589,55 0b 00 04 03 06 00 00 80 3f
48058,55 0a 00 04 03 07 01 01 01 9c
48455,55 0b 00 04 03 06 00 00 00 40
48555,55 0a 00 04 03 07 01 01 02 dc
48952,55 0a 00 04 03 07 01 01 03 1d
53521,55 0b 00 04 03 06 00 00 80 3f
57394,55 0a 00 04 03 07 01 01 02 dc
58388,55 0b 00 04 03 06 00 00 c8 42
58487,55 0a 00 04 03 07 01 01 03 1d
62361,55 0a 00 04 03 07 01 01 02 dc
63354,55 0b 00 04 03 06 00 00 54 42
63453,55 0a 00 04 03 07 01 01 03 1d
64844,55 0a 00 04 03 07 01 01 02 dc
65837,55 0a 00 04 03 07 01 01 03 1d
68321,55 0b 00 04 03 06 00 00 c8 42
73287,55 0b 00 04 03 06 00 00 00 40
76764,55 0a 00 04 03 07 01 01 01 9c
77360,55 0a 00 04 03 07 01 01 03 1d
77757,55 0a 00 04 03 07 01 01 02 dc
78254,55 0b 00 04 03 06 00 00 00 40
78353,55 0a 00 04 03 07 01 01 03 1d
83221,55 0b 00 04 03 06 00 00 54 42
83717,55 0a 00 04 03 07 01 01 01 9c
84214,55 0a 00 04 03 07 01 01 03 1d
88187,55 0b 00 04 03 06 00 00 14 42
88684,55 0a 00 04 03 07 01 01 01 9c
89180,55 0a 00 04 03 07 01 01 02 dc
91664,55 0a 00 04 03 07 01 01 03 1d
92756,55 0a 00 04 03 07 01 01 01 9c
93154,55 0b 00 04 03 06 00 00 80 3f
93253,55 0a 00 04 03 07 01 01 03 1d
97127,55 0a 00 04 03 07 01 01 01 9c
97623,55 0a 00 04 03 07 01 01 03 1d
98120,55 0b 00 04 03 06 00 00 80 3f
102590,55 0a 00 04 03 07 01 01 01 9c
103087,55 0b 00 04 03 06 00 00 20 41
103186,55 0a 00 04 03 07 01 01 03 1d
105074,55 0a 00 04 03 07 01 01 02 dc
105570,55 0a 00 04 03 07 01 01 03 1d
108153,55 0b 00 04 03 06 00 00 80 3f
112027,55 0a 00 04 03 07 01 01 02 dc
113021,55 0b 00 04 03 06 00 00 00 40
113518,55 0a 00 04 03 07 01 01 03 1d
117988,55 0b 00 04 03 06 00 00 80 42
121464,55 0a 00 04 03 07 01 01 02 dc
123054,55 0b 00 04 03 06 00 00 80 3f
123948,55 0a 00 04 03 07 01 01 01 9c
124444,55 0a 00 04 03 07 01 01 03 1d
125438,55 0a 00 04 03 07 01 01 02 dc
127921,55 0b 00 04 03 06 00 00 8e 42
129014,55 0a 00 04 03 07 01 01 03 1d
131994,55 0a 00 04 03 07 01 01 02 dc
132391,55 0a 00 04 03 07 01 01 03 1d
132987,55 0b 00 04 03 06 00 00 80 3f
133881,55 0a 00 04 03 07 01 01 01 9c
134974,55 0a 00 04 03 07 01 01 03 1d
137854,55 0b 00 04 03 06 00 00 80 3f
142821,55 0b 00 04 03 06 00 00 80 3f
143318,55 0a 00 04 03 07 01 01 02 dc
143815,55 0a 00 04 03 07 01 01 01 9c
144411,55 0a 00 04 03 07 01 01 03 1d
146895,55 0a 00 04 03 07 01 01 02 dc
147789,55 0b 00 04 03 06 00 00 c8 42
148385,55 0a 00 04 03 07 01 01 03 1d
152755,55 0b 00 04 03 06 00 00 00 40
152854,55 0a 00 04 03 07 01 01 02 dc
154246,55 0a 00 04 03 07 01 01 03 1d
157723,55 0b 00 04 03 06 00 00 80 3f
160305,55 0a 00 04 03 07 01 01 02 dc
161696,55 0a 00 04 03 07 01 01 03 1d
162689,55 0b 00 04 03 06 00 00 00 40
167755,55 0b 00 04 03 06 00 00 80 3f
170636,55 0a 00 04 03 07 01 01 02 dc
172126,55 0a 00 04 03 07 01 01 01 9c
172623,55 0b 00 04 03 06 00 00 c8 42
172722,55 0a 00 04 03 07 01 01 03 1d
177689,55 0b 00 04 03 06 00 00 54 42
178683,55 0a 00 04 03 07 01 01 02 dc
179577,55 0a 00 04 03 07 01 01 03 1d
182557,55 0b 00 04 03 06 00 00 80 3f
185636,55 0a 00 04 03 07 01 01 01 9c
186034,55 0a 00 04 03 07 01 01 02 dc
186530,55 0a 00 04 03 07 01 01 03 1d
187524,55 0b 00 04 03 06 00 00 80 3f
192092,55 0a 00 04 03 07 01 01 01 9c
192490,55 0b 00 04 03 06 00 00 80 3f
192987,55 0a 00 04 03 07 01 01 03 1d
193583,55 0a 00 04 03 07 01 01 01 9c
193980,55 0a 00 04 03 07 01 01 02 dc
195967,55 0a 00 04 03 07 01 01 01 9c
196464,55 0a 00 04 03 07 01 01 03 1d
196961,55 0a 00 04 03 07 01 01 02 dc
197457,55 0b 00 04 03 06 00 00 00 40
198053,55 0a 00 04 03 07 01 01 03 1d
200040,55 0a 00 04 03 07 01 01 01 9c
200437,55 0a 00 04 03 07 01 01 03 1d
202523,55 0b 00 04 03 06 00 00 00 40
204411,55 0a 00 04 03 07 01 01 02 dc
205503,55 0a 00 04 03 07 01 01 03 1d
206497,55 0a 00 04 03 07 01 01 02 dc
207391,55 0b 00 04 03 06 00 00 00 40
207987,55 0a 00 04 03 07 01 01 03 1d
210371,55 0a 00 04 03 07 01 01 02 dc
211464,55 0a 00 04 03 07 01 01 03 1d
212358,55 0b 00 04 03 06 00 00 c0 41
213848,55 0a 00 04 03 07 01 01 02 dc
214841,55 0a 00 04 03 07 01 01 03 1d
217324,55 0b 00 04 03 06 00 00 00 40
222291,55 0b 00 04 03 06 00 00 80 3f
226266,55 0a 00 04 03 07 01 01 02 dc
227259,55 0b 00 04 03 06 00 00 9e 42
227358,55 0a 00 04 03 07 01 01 03 1d
228848,55 0a 00 04 03 07 01 01 01 9c
229345,55 0a 00 04 03 07 01 01 02 dc
230338,55 0a 00 04 03 07 01 01 03 1d
232226,55 0b 00 04 03 06 00 00 80 3f
235703,55 0a 00 04 03 07 01 01 02 dc
236199,55 0a 00 04 03 07 01 01 03 1d
237193,55 0b 00 04 03 06 00 00 00 40
241166,55 0a 00 04 03 07 01 01 02 dc
242160,55 0b 00 04 03 06 00 00 c8 42
242259,55 0a 00 04 03 07 01 01 01 9c
242656,55 0a 00 04 03 07 01 01 03 1d
247126,55 0b 00 04 03 06 00 00 70 42
247226,55 0a 00 04 03 07 01 01 02 dc
247722,55 0a 00 04 03 07 01 01 01 9c
248120,55 0a 00 04 03 07 01 01 03 1d
252192,55 0b 00 04 03 06 00 00 00 40
252590,55 0a 00 04 03 07 01 01 01 9c
253186,55 0a 00 04 03 07 01 01 03 1d
257060,55 0b 00 04 03 06 00 00 00 40
261033,55 0a 00 04 03 07 01 01 02 dc
262027,55 0b 00 04 03 06 00 00 00 40
262126,55 0a 00 04 03 07 01 01 01 9c
262623,55 0a 00 04 03 07 01 01 03 1d
266993,55 0b 00 04 03 06 00 00 80 3f
267987,55 0a 00 04 03 07 01 01 02 dc
268483,55 0a 00 04 03 07 01 01 03 1d
271960,55 0b 00 04 03 06 00 00 80 3f
275933,55 0a 00 04 03 07 01 01 01 9c
276430,55 0a 00 04 03 07 01 01 03 1d
276927,55 0b 00 04 03 06 00 00 00 40
277920,55 0a 00 04 03 07 01 01 01 9c
278417,55 0a 00 04 03 07 01 01 02 dc
279410,55 0a 00 04 03 07 01 01 03 1d
280403,55 0a 00 04 03 07 01 01 02 dc
281893,55 0b 00 04 03 06 00 00 00 40
281992,55 0a 00 04 03 07 01 01 03 1d
285867,55 0a 00 04 03 07 01 01 01 9c
286364,55 0a 00 04 03 07 01 01 03 1d
286860,55 0b 00 04 03 06 00 00 00 40
287854,55 0a 00 04 03 07 01 01 01 9c
288350,55 0a 00 04 03 07 01 01 03 1d
289344,55 0a 00 04 03 07 01 01 02 dc
289840,55 0a 00 04 03 07 01 01 03 1d
291330,55 0a 00 04 03 07 01 01 02 dc
291827,55 0b 00 04 03 06 00 00 00 40
291926,55 0a 00 04 03 07 01 01 03 1d
293813,55 0a 00 04 03 07 01 01 02 dc
294807,55 0a 00 04 03 07 01 01 03 1d
296893,55 0b 00 04 03 06 00 00 80 3f
297290,55 0a 00 04 03 07 01 01 02 dc
298781,55 0a 00 04 03 07 01 01 03 1d
301264,55 0a 00 04 03 07 01 01 02 dc
301860,55 0b 00 04 03 06 00 00 80 3f
302257,55 0a 00 04 03 07 01 01 03 1d
305237,55 0a 00 04 03 07 01 01 02 dc
306727,55 0b 00 04 03 06 00 00 00 40
307721,55 0a 00 04 03 07 01 01 01 9c
308217,55 0a 00 04 03 07 01 01 03 1d
311694,55 0b 00 04 03 06 00 00 80 3f
316661,55 0b 00 04 03 06 00 00 80 3f
