millis,raw_data_hex
3729,55 08 00 04 05 02 0f 4f 18 55
3892,55 16 00 04 01 02 47 32 34 56
4081,55 08 00 03 04 0c 03 1b c9 55
4190,55 0a 00 04 03 05 01 00 ff 1d
4389,55 0b 00 04 03 06 00 00 80 3f
4488,55 0a 00 04 03 07 01 01 01 9c
5951,55 0a 00 04 03 05 01 01 01 9d
6050,55 0a 00 04 03 05 01 01 01 9d
6249,55 0a 00 04 03 07 01 01 03 1d
8732,55 0b 00 04 03 06 00 00 70 41
8831,55 0a 00 04 03 07 01 01 02 dc
9229,55 0a 00 04 03 07 01 01 01 9c
9725,55 0a 00 04 03 07 01 01 03 1d
10222,55 0a 00 04 03 07 01 01 02 dc
13698,55 0b 00 04 03 06 00 00 00 40
18666,55 0b 00 04 03 06 00 00 6c 42
19162,55 0a 00 04 03 07 01 01 01 9c
19659,55 0a 00 04 03 07 01 01 03 1d
23633,55 0b 00 04 03 06 00 00 00 40
28600,55 0b 00 04 03 06 00 00 80 3f
29197,55 0a 00 04 03 07 01 01 02 dc
30091,55 0a 00 04 03 07 01 01 01 9c
30588,55 0a 00 04 03 07 01 01 03 1d
31085,55 0a 00 04 03 07 01 01 01 9c
31581,55 0a 00 04 03 07 01 01 03 1d
33568,55 0b 00 04 03 06 00 00 00 40
37642,55 0a 00 04 03 07 01 01 02 dc
38536,55 0b 00 04 03 06 00 00 00 40
39033,55 0a 00 04 03 07 01 01 01 9c
39629,55 0a 00 04 03 07 01 01 03 1d
40524,55 0a 00 04 03 07 01 01 02 dc
43505,55 0b 00 04 03 06 00 00 00 40
48473,55 0b 00 04 03 06 00 00 00 40
48970,55 0a 00 04 03 07 01 01 03 1d
51553,55 0a 00 04 03 07 01 01 01 9c
51951,55 0a 00 04 03 07 01 01 02 dc
53441,55 0b 00 04 03 06 00 00 34 42
56422,55 0a 00 04 03 07 01 01 01 9c
57019,55 0a 00 04 03 07 01 01 03 1d
57913,55 0a 00 04 03 07 01 01 02 dc
58410,55 0b 00 04 03 06 00 00 c8 42
58509,55 0a 00 04 03 07 01 01 03 1d
59404,55 0a 00 04 03 07 01 01 02 dc
60894,55 0a 00 04 03 07 01 01 03 1d
63378,55 0b 00 04 03 06 00 00 00 40
63478,55 0a 00 04 03 07 01 01 02 dc
68347,55 0b 00 04 03 06 00 00 00 40
73316,55 0b 00 04 03 06 00 00 00 40
73415,55 0a 00 04 03 07 01 01 03 1d
78285,55 0b 00 04 03 06 00 00 78 42
80769,55 0a 00 04 03 07 01 01 01 9c
81266,55 0a 00 04 03 07 01 01 02 dc
83254,55 0b 00 04 03 06 00 00 c8 42
83751,55 0a 00 04 03 07 01 01 03 1d
84248,55 0a 00 04 03 07 01 01 02 dc
84745,55 0a 00 04 03 07 01 01 01 9c
85341,55 0a 00 04 03 07 01 01 03 1d
88323,55 0b 00 04 03 06 00 00 80 3f
93193,55 0b 00 04 03 06 00 00 c8 42
94684,55 0a 00 04 03 07 01 01 02 dc
95280,55 0a 00 04 03 07 01 01 03 1d
98163,55 0b 00 04 03 06 00 00 54 42
102138,55 0a 00 04 03 07 01 01 02 dc
103132,55 0b 00 04 03 06 00 00 8e 42
104126,55 0a 00 04 03 07 01 01 03 1d
106114,55 0a 00 04 03 07 01 01 02 dc
107108,55 0a 00 04 03 07 01 01 03 1d
108102,55 0b 00 04 03 06 00 00 b4 42
109593,55 0a 00 04 03 07 01 01 02 dc
110090,55 0a 00 04 03 07 01 01 03 1d
112078,55 0a 00 04 03 07 01 01 02 dc
112575,55 0a 00 04 03 07 01 01 03 1d
113072,55 0b 00 04 03 06 00 00 00 40
118042,55 0b 00 04 03 06 00 00 c8 42
118539,55 0a 00 04 03 07 01 01 02 dc
119036,55 0a 00 04 03 07 01 01 03 1d
120030,55 0a 00 04 03 07 01 01 01 9c
120527,55 0a 00 04 03 07 01 01 02 dc
123012,55 0b 00 04 03 06 00 00 00 40
127981,55 0b 00 04 03 06 00 00 00 40
132951,55 0b 00 04 03 06 00 00 c8 42
133945,55 0a 00 04 03 07 01 01 03 1d
137921,55 0b 00 04 03 06 00 00 c8 42
138915,55 0a 00 04 03 07 01 01 01 9c
139412,55 0a 00 04 03 07 01 01 02 dc
139909,55 0a 00 04 03 07 01 01 01 9c
140406,55 0a 00 04 03 07 01 01 03 1d
142991,55 0b 00 04 03 06 00 00 80 3f
144879,55 0a 00 04 03 07 01 01 01 9c
145376,55 0a 00 04 03 07 01 01 02 dc
147861,55 0b 00 04 03 06 00 00 00 40
150843,55 0a 00 04 03 07 01 01 03 1d
152831,55 0b 00 04 03 06 00 00 40 42
153328,55 0a 00 04 03 07 01 01 02 dc
157801,55 0b 00 04 03 06 00 00 00 40
162771,55 0b 00 04 03 06 00 00 00 40
167741,55 0b 00 04 03 06 00 00 00 40
172711,55 0b 00 04 03 06 00 00 00 40
177681,55 0b 00 04 03 06 00 00 00 40
182651,55 0b 00 04 03 06 00 00 00 40
187622,55 0b 00 04 03 06 00 00 00 40
192592,55 0b 00 04 03 06 00 00 00 40
197562,55 0b 00 04 03 06 00 00 00 40
202533,55 0b 00 04 03 06 00 00 00 40
207503,55 0b 00 04 03 06 00 00 00 40
209491,55 0a 00 04 03 07 01 01 01 9c
209988,55 0a 00 04 03 07 01 01 03 1d
210485,55 0a 00 04 03 07 01 01 02 dc
210982,55 0a 00 04 03 07 01 01 01 9c
211479,55 0a 00 04 03 07 01 01 03 1d
212473,55 0b 00 04 03 06 00 00 00 40
212970,55 0a 00 04 03 07 01 01 02 dc
213964,55 0a 00 04 03 07 01 01 03 1d
214461,55 0a 00 04 03 07 01 01 02 dc
217443,55 0b 00 04 03 06 00 00 00 40
222414,55 0b 00 04 03 06 00 00 00 40
227384,55 0b 00 04 03 06 00 00 00 40
232354,55 0b 00 04 03 06 00 00 00 40
237325,55 0b 00 04 03 06 00 00 00 40
242295,55 0b 00 04 03 06 00 00 00 40
247266,55 0b 00 04 03 06 00 00 00 40
252237,55 0b 00 04 03 06 00 00 00 40
257207,55 0b 00 04 03 06 00 00 00 40
262178,55 0b 00 04 03 06 00 00 00 40
267149,55 0b 00 04 03 06 00 00 00 40
272119,55 0b 00 04 03 06 00 00 00 40
277090,55 0b 00 04 03 06 00 00 64 42
280072,55 0a 00 04 03 07 01 01 03 1d
282061,55 0b 00 04 03 06 00 00 c8 42
285143,55 0a 00 04 03 07 01 01 01 9c
285540,55 0a 00 04 03 07 01 01 02 dc
286038,55 0a 00 04 03 07 01 01 01 9c
286535,55 0a 00 04 03 07 01 01 02 dc
287032,55 0b 00 04 03 06 00 00 c8 42
289020,55 0a 00 04 03 07 01 01 01 9c
289517,55 0a 00 04 03 07 01 01 02 dc
290511,55 0a 00 04 03 07 01 01 03 1d
291506,55 0a 00 04 03 07 01 01 02 dc
292003,55 0b 00 04 03 06 00 00 00 40
296973,55 0b 00 04 03 06 00 00 00 40
301944,55 0b 00 04 03 06 00 00 00 40
305424,55 0a 00 04 03 07 01 01 01 9c
305921,55 0a 00 04 03 07 01 01 03 1d
307014,55 0b 00 04 03 06 00 00 80 3f
311886,55 0b 00 04 03 06 00 00 00 40
314471,55 0a 00 04 03 07 01 01 01 9c
314869,55 0a 00 04 03 07 01 01 02 dc
315366,55 0a 00 04 03 07 01 01 03 1d
316957,55 0b 00 04 03 06 00 00 00 40
317851,55 0a 00 04 03 07 01 01 02 dc
319343,55 0a 00 04 03 07 01 01 01 9c
319840,55 0a 00 04 03 07 01 01 02 dc
320337,55 0a 00 04 03 07 01 01 01 9c
320834,55 0a 00 04 03 07 01 01 02 dc
321331,55 0a 00 04 03 07 01 01 03 1d
321928,55 0b 00 04 03 06 00 00 80 3f
322425,55 0a 00 04 03 07 01 01 01 9c
323320,55 0a 00 04 03 07 01 01 03 1d
325308,55 0a 00 04 03 07 01 01 02 dc
326302,55 0a 00 04 03 07 01 01 03 1d
326799,55 0b 00 04 03 06 00 00 9e 42
327296,55 0a 00 04 03 07 01 01 02 dc
331770,55 0b 00 04 03 06 00 00 e0 41
331870,55 0a 00 04 03 07 01 01 01 9c
332267,55 0a 00 04 03 07 01 01 03 1d
334753,55 0a 00 04 03 07 01 01 01 9c
335250,55 0a 00 04 03 07 01 01 02 dc
336741,55 0b 00 04 03 06 00 00 00 40
340221,55 0a 00 04 03 07 01 01 03 1d
341713,55 0b 00 04 03 06 00 00 3c 42
346187,55 0a 00 04 03 07 01 01 02 dc
346684,55 0b 00 04 03 06 00 00 c8 42
348175,55 0a 00 04 03 07 01 01 03 1d
351754,55 0b 00 04 03 06 00 00 c6 42
353643,55 0a 00 04 03 07 01 01 01 9c
354140,55 0a 00 04 03 07 01 01 03 1d
356725,55 0b 00 04 03 06 00 00 80 3f
358614,55 0a 00 04 03 07 01 01 02 dc
359608,55 0a 00 04 03 07 01 01 01 9c
360106,55 0a 00 04 03 07 01 01 03 1d
361696,55 0b 00 04 03 06 00 00 c8 42
363088,55 0a 00 04 03 07 01 01 02 dc
364082,55 0a 00 04 03 07 01 01 03 1d
366568,55 0b 00 04 03 06 00 00 80 3f
367164,55 0a 00 04 03 07 01 01 01 9c
367562,55 0a 00 04 03 07 01 01 03 1d
371539,55 0b 00 04 03 06 00 00 70 42
376510,55 0b 00 04 03 06 00 00 80 3f
381481,55 0b 00 04 03 06 00 00 00 40
386453,55 0b 00 04 03 06 00 00 80 3f
391523,55 0b 00 04 03 06 00 00 c8 42
396395,55 0b 00 04 03 06 00 00 c8 42
401366,55 0b 00 04 03 06 00 00 20 41
406337,55 0b 00 04 03 06 00 00 00 40
411309,55 0b 00 04 03 06 00 00 c8 42
416280,55 0b 00 04 03 06 00 00 c0 41
421251,55 0b 00 04 03 06 00 00 00 40
422842,55 0a 00 04 03 07 01 01 01 9c
