millis,raw_data_hex
3729,55 08 00 04 05 02 0f 4f 18 55
3895,55 16 00 04 01 02 47 32 34 56
4084,55 08 00 03 04 0c 03 1b c9 55
4192,55 0a 00 04 03 05 01 00 ff 1d
4391,55 0b 00 04 03 06 00 00 80 3f
4490,55 0a 00 04 03 07 01 01 01 9c
4861,55 0a 00 04 03 05 01 01 01 9d
4960,55 0a 00 04 03 05 01 01 01 9d
5258,55 0a 00 04 03 07 01 01 03 1d
7740,55 0a 00 04 03 07 01 01 01 9c
8237,55 0a 00 04 03 07 01 01 02 dc
8733,55 0b 00 04 03 06 00 00 00 40
8833,55 0a 00 04 03 07 01 01 01 9c
9230,55 0a 00 04 03 07 01 01 03 1d
13799,55 0b 00 04 03 06 00 00 90 42
18666,55 0b 00 04 03 06 00 00 a8 41
23632,55 0b 00 04 03 06 00 00 00 40
28599,55 0b 00 04 03 06 00 00 00 40
31579,55 0a 00 04 03 07 01 01 01 9c
32076,55 0a 00 04 03 07 01 01 02 dc
33069,55 0a 00 04 03 07 01 01 03 1d
33566,55 0b 00 04 03 06 00 00 00 40
34559,55 0a 00 04 03 07 01 01 02 dc
35553,55 0a 00 04 03 07 01 01 03 1d
38533,55 0b 00 04 03 06 00 00 20 41
42010,55 0a 00 04 03 07 01 01 01 9c
42507,55 0a 00 04 03 07 01 01 03 1d
43500,55 0b 00 04 03 06 00 00 00 40
48468,55 0b 00 04 03 06 00 00 00 40
49461,55 0a 00 04 03 07 01 01 01 9c
49958,55 0a 00 04 03 07 01 01 03 1d
50951,55 0a 00 04 03 07 01 01 01 9c
51448,55 0a 00 04 03 07 01 01 02 dc
53435,55 0b 00 04 03 06 00 00 00 40
53932,55 0a 00 04 03 07 01 01 03 1d
58402,55 0b 00 04 03 06 00 00 b4 42
59396,55 0a 00 04 03 07 01 01 01 9c
59893,55 0a 00 04 03 07 01 01 03 1d
63370,55 0b 00 04 03 06 00 00 00 40
64363,55 0a 00 04 03 07 01 01 02 dc
64860,55 0a 00 04 03 07 01 01 01 9c
65357,55 0a 00 04 03 07 01 01 03 1d
68337,55 0b 00 04 03 06 00 00 00 40
70821,55 0a 00 04 03 07 01 01 02 dc
71318,55 0a 00 04 03 07 01 01 03 1d
73305,55 0b 00 04 03 06 00 00 00 40
78273,55 0b 00 04 03 06 00 00 00 40
80757,55 0a 00 04 03 07 01 01 02 dc
81750,55 0a 00 04 03 07 01 01 03 1d
82744,55 0a 00 04 03 07 01 01 01 9c
83241,55 0b 00 04 03 06 00 00 00 40
83340,55 0a 00 04 03 07 01 01 03 1d
84234,55 0a 00 04 03 07 01 01 01 9c
85228,55 0a 00 04 03 07 01 01 03 1d
88208,55 0b 00 04 03 06 00 00 00 40
93176,55 0b 00 04 03 06 00 00 00 40
93276,55 0a 00 04 03 07 01 01 01 9c
93673,55 0a 00 04 03 07 01 01 03 1d
98144,55 0b 00 04 03 06 00 00 00 40
99635,55 0a 00 04 03 07 01 01 01 9c
100132,55 0a 00 04 03 07 01 01 03 1d
101125,55 0a 00 04 03 07 01 01 01 9c
101622,55 0a 00 04 03 07 01 01 03 1d
102616,55 0a 00 04 03 07 01 01 02 dc
103112,55 0b 00 04 03 06 00 00 00 40
103212,55 0a 00 04 03 07 01 01 01 9c
103609,55 0a 00 04 03 07 01 01 03 1d
106093,55 0a 00 04 03 07 01 01 01 9c
106590,55 0a 00 04 03 07 01 01 02 dc
107087,55 0a 00 04 03 07 01 01 03 1d
108080,55 0b 00 04 03 06 00 00 00 40
108180,55 0a 00 04 03 07 01 01 01 9c
108577,55 0a 00 04 03 07 01 01 02 dc
110068,55 0a 00 04 03 07 01 01 03 1d
113048,55 0b 00 04 03 06 00 00 00 40
113148,55 0a 00 04 03 07 01 01 01 9c
113545,55 0a 00 04 03 07 01 01 03 1d
114042,55 0a 00 04 03 07 01 01 02 dc
115036,55 0a 00 04 03 07 01 01 03 1d
118017,55 0b 00 04 03 06 00 00 00 40
122985,55 0b 00 04 03 06 00 00 e8 41
123979,55 0a 00 04 03 07 01 01 01 9c
124475,55 0a 00 04 03 07 01 01 03 1d
126960,55 0a 00 04 03 07 01 01 01 9c
127456,55 0a 00 04 03 07 01 01 03 1d
127953,55 0b 00 04 03 06 00 00 00 40
131431,55 0a 00 04 03 07 01 01 01 9c
131928,55 0a 00 04 03 07 01 01 02 dc
132922,55 0b 00 04 03 06 00 00 00 40
136400,55 0a 00 04 03 07 01 01 01 9c
136897,55 0a 00 04 03 07 01 01 02 dc
137890,55 0b 00 04 03 06 00 00 00 40
139878,55 0a 00 04 03 07 01 01 01 9c
140871,55 0a 00 04 03 07 01 01 03 1d
141368,55 0a 00 04 03 07 01 01 01 9c
141865,55 0a 00 04 03 07 01 01 02 dc
142859,55 0b 00 04 03 06 00 00 00 40
