millis,raw_data_hex
3729,55 08 00 04 05 02 0f 4f 18 55
3892,55 16 00 04 01 02 47 32 34 56
4081,55 08 00 03 04 0c 03 1b c9 55
4189,55 0a 00 04 03 05 01 00 ff 1d
4388,55 0b 00 04 03 06 00 00 80 3f
4487,55 0a 00 04 03 07 01 01 01 9c
4858,55 0a 00 04 03 05 01 01 01 9d
4957,55 0a 00 04 03 05 01 01 01 9d
5255,55 0a 00 04 03 07 01 01 03 1d
8731,55 0b 00 04 03 06 00 00 00 40
8830,55 0a 00 04 03 07 01 01 02 dc
10221,55 0a 00 04 03 07 01 01 03 1d
11710,55 0a 00 04 03 07 01 01 02 dc
13697,55 0b 00 04 03 06 00 00 00 40
15683,55 0a 00 04 03 07 01 01 03 1d
18663,55 0b 00 04 03 06 00 00 00 40
18763,55 0a 00 04 03 07 01 01 02 dc
22140,55 0a 00 04 03 07 01 01 01 9c
23133,55 0a 00 04 03 07 01 01 02 dc
23630,55 0b 00 04 03 06 00 00 00 40
24127,55 0a 00 04 03 07 01 01 03 1d
27604,55 0a 00 04 03 07 01 01 02 dc
28597,55 0b 00 04 03 06 00 00 00 40
28696,55 0a 00 04 03 07 01 01 01 9c
30186,55 0a 00 04 03 07 01 01 02 dc
31080,55 0a 00 04 03 07 01 01 01 9c
31577,55 0a 00 04 03 07 01 01 03 1d
32074,55 0a 00 04 03 07 01 01 02 dc
33564,55 0b 00 04 03 06 00 00 00 40
34061,55 0a 00 04 03 07 01 01 01 9c
34557,55 0a 00 04 03 07 01 01 03 1d
35054,55 0a 00 04 03 07 01 01 02 dc
38531,55 0b 00 04 03 06 00 00 20 41
39027,55 0a 00 04 03 07 01 01 01 9c
40021,55 0a 00 04 03 07 01 01 02 dc
43498,55 0b 00 04 03 06 00 00 00 40
44988,55 0a 00 04 03 07 01 01 03 1d
46975,55 0a 00 04 03 07 01 01 02 dc
48465,55 0b 00 04 03 06 00 00 00 40
51445,55 0a 00 04 03 07 01 01 01 9c
51942,55 0a 00 04 03 07 01 01 03 1d
52439,55 0a 00 04 03 07 01 01 02 dc
53432,55 0b 00 04 03 06 00 00 00 40
58400,55 0b 00 04 03 06 00 00 00 40
63368,55 0b 00 04 03 06 00 00 00 40
64859,55 0a 00 04 03 07 01 01 01 9c
65355,55 0a 00 04 03 07 01 01 03 1d
68336,55 0b 00 04 03 06 00 00 20 42
69827,55 0a 00 04 03 07 01 01 01 9c
70820,55 0a 00 04 03 07 01 01 02 dc
73304,55 0b 00 04 03 06 00 00 00 40
78272,55 0b 00 04 03 06 00 00 00 40
79265,55 0a 00 04 03 07 01 01 01 9c
79762,55 0a 00 04 03 07 01 01 02 dc
82743,55 0a 00 04 03 07 01 01 01 9c
83239,55 0b 00 04 03 06 00 00 00 40
83339,55 0a 00 04 03 07 01 01 03 1d
83736,55 0a 00 04 03 07 01 01 02 dc
86717,55 0a 00 04 03 07 01 01 03 1d
87214,55 0a 00 04 03 07 01 01 02 dc
88207,55 0b 00 04 03 06 00 00 00 40
89201,55 0a 00 04 03 07 01 01 03 1d
90195,55 0a 00 04 03 07 01 01 01 9c
90692,55 0a 00 04 03 07 01 01 03 1d
91685,55 0a 00 04 03 07 01 01 01 9c
92182,55 0a 00 04 03 07 01 01 02 dc
93176,55 0b 00 04 03 06 00 00 00 40
93275,55 0a 00 04 03 07 01 01 03 1d
93673,55 0a 00 04 03 07 01 01 01 9c
94170,55 0a 00 04 03 07 01 01 02 dc
95163,55 0a 00 04 03 07 01 01 03 1d
96654,55 0a 00 04 03 07 01 01 01 9c
97151,55 0a 00 04 03 07 01 01 03 1d
98144,55 0b 00 04 03 06 00 00 00 40
98641,55 0a 00 04 03 07 01 01 01 9c
99138,55 0a 00 04 03 07 01 01 02 dc
99635,55 0a 00 04 03 07 01 01 01 9c
100132,55 0a 00 04 03 07 01 01 02 dc
102616,55 0a 00 04 03 07 01 01 03 1d
103113,55 0b 00 04 03 06 00 00 00 40
103212,55 0a 00 04 03 07 01 01 02 dc
105597,55 0a 00 04 03 07 01 01 01 9c
106094,55 0a 00 04 03 07 01 01 02 dc
106591,55 0a 00 04 03 07 01 01 03 1d
107684,55 0a 00 04 03 07 01 01 02 dc
108081,55 0b 00 04 03 06 00 00 00 40
110069,55 0a 00 04 03 07 01 01 01 9c
110566,55 0a 00 04 03 07 01 01 03 1d
111559,55 0a 00 04 03 07 01 01 01 9c
112056,55 0a 00 04 03 07 01 01 02 dc
113050,55 0b 00 04 03 06 00 00 00 40
115534,55 0a 00 04 03 07 01 01 03 1d
118019,55 0b 00 04 03 06 00 00 00 40
121994,55 0a 00 04 03 07 01 01 02 dc
122987,55 0b 00 04 03 06 00 00 00 40
123484,55 0a 00 04 03 07 01 01 01 9c
123981,55 0a 00 04 03 07 01 01 03 1d
125969,55 0a 00 04 03 07 01 01 01 9c
126465,55 0a 00 04 03 07 01 01 02 dc
126962,55 0a 00 04 03 07 01 01 03 1d
127956,55 0b 00 04 03 06 00 00 80 3f
132925,55 0b 00 04 03 06 00 00 30 42
137894,55 0b 00 04 03 06 00 00 00 40
137994,55 0a 00 04 03 07 01 01 02 dc
140379,55 0a 00 04 03 07 01 01 03 1d
140875,55 0a 00 04 03 07 01 01 02 dc
141869,55 0a 00 04 03 07 01 01 03 1d
142366,55 0a 00 04 03 07 01 01 02 dc
142863,55 0b 00 04 03 06 00 00 00 40
144354,55 0a 00 04 03 07 01 01 01 9c
145347,55 0a 00 04 03 07 01 01 03 1d
145844,55 0a 00 04 03 07 01 01 01 9c
146341,55 0a 00 04 03 07 01 01 02 dc
147335,55 0a 00 04 03 07 01 01 03 1d
147832,55 0b 00 04 03 06 00 00 20 41
147931,55 0a 00 04 03 07 01 01 01 9c
148329,55 0a 00 04 03 07 01 01 02 dc
150316,55 0a 00 04 03 07 01 01 01 9c
150813,55 0a 00 04 03 07 01 01 03 1d
151807,55 0a 00 04 03 07 01 01 02 dc
152801,55 0b 00 04 03 06 00 00 00 40
153297,55 0a 00 04 03 07 01 01 03 1d
153794,55 0a 00 04 03 07 01 01 01 9c
154291,55 0a 00 04 03 07 01 01 02 dc
157769,55 0b 00 04 03 06 00 00 00 40
160751,55 0a 00 04 03 07 01 01 03 1d
161744,55 0a 00 04 03 07 01 01 02 dc
162837,55 0b 00 04 03 06 00 00 20 41
164229,55 0a 00 04 03 07 01 01 03 1d
164726,55 0a 00 04 03 07 01 01 02 dc
167707,55 0b 00 04 03 06 00 00 00 40
167806,55 0a 00 04 03 07 01 01 01 9c
168204,55 0a 00 04 03 07 01 01 02 dc
169695,55 0a 00 04 03 07 01 01 01 9c
170688,55 0a 00 04 03 07 01 01 02 dc
171185,55 0a 00 04 03 07 01 01 03 1d
172179,55 0a 00 04 03 07 01 01 01 9c
172676,55 0b 00 04 03 06 00 00 00 40
172775,55 0a 00 04 03 07 01 01 02 dc
173670,55 0a 00 04 03 07 01 01 03 1d
174664,55 0a 00 04 03 07 01 01 02 dc
176154,55 0a 00 04 03 07 01 01 01 9c
176651,55 0a 00 04 03 07 01 01 02 dc
177645,55 0b 00 04 03 06 00 00 00 40
182614,55 0b 00 04 03 06 00 00 68 42
182713,55 0a 00 04 03 07 01 01 01 9c
183111,55 0a 00 04 03 07 01 01 02 dc
186589,55 0a 00 04 03 07 01 01 01 9c
187086,55 0a 00 04 03 07 01 01 02 dc
187583,55 0b 00 04 03 06 00 00 48 42
188080,55 0a 00 04 03 07 01 01 03 1d
192651,55 0b 00 04 03 06 00 00 20 41
193546,55 0a 00 04 03 07 01 01 02 dc
194540,55 0a 00 04 03 07 01 01 03 1d
196627,55 0a 00 04 03 07 01 01 01 9c
197124,55 0a 00 04 03 07 01 01 02 dc
197521,55 0b 00 04 03 06 00 00 f0 41
197620,55 0a 00 04 03 07 01 01 03 1d
198515,55 0a 00 04 03 07 01 01 01 9c
199012,55 0a 00 04 03 07 01 01 03 1d
202490,55 0b 00 04 03 06 00 00 c2 42
207459,55 0b 00 04 03 06 00 00 00 40
208453,55 0a 00 04 03 07 01 01 02 dc
208950,55 0a 00 04 03 07 01 01 01 9c
209447,55 0a 00 04 03 07 01 01 02 dc
210441,55 0a 00 04 03 07 01 01 03 1d
212031,55 0a 00 04 03 07 01 01 02 dc
212428,55 0b 00 04 03 06 00 00 00 40
212528,55 0a 00 04 03 07 01 01 01 9c
212925,55 0a 00 04 03 07 01 01 03 1d
213422,55 0a 00 04 03 07 01 01 02 dc
214416,55 0a 00 04 03 07 01 01 03 1d
217398,55 0b 00 04 03 06 00 00 14 42
219883,55 0a 00 04 03 07 01 01 01 9c
220380,55 0a 00 04 03 07 01 01 03 1d
220877,55 0a 00 04 03 07 01 01 02 dc
222367,55 0b 00 04 03 06 00 00 00 40
226343,55 0a 00 04 03 07 01 01 01 9c
226840,55 0a 00 04 03 07 01 01 03 1d
227337,55 0b 00 04 03 06 00 00 00 40
227436,55 0a 00 04 03 07 01 01 02 dc
228330,55 0a 00 04 03 07 01 01 01 9c
228827,55 0a 00 04 03 07 01 01 03 1d
229821,55 0a 00 04 03 07 01 01 02 dc
230318,55 0a 00 04 03 07 01 01 03 1d
232306,55 0b 00 04 03 06 00 00 c8 42
237275,55 0b 00 04 03 06 00 00 c8 42
241251,55 0a 00 04 03 07 01 01 01 9c
242245,55 0b 00 04 03 06 00 00 98 41
242742,55 0a 00 04 03 07 01 01 03 1d
245227,55 0a 00 04 03 07 01 01 02 dc
245723,55 0a 00 04 03 07 01 01 01 9c
246220,55 0a 00 04 03 07 01 01 03 1d
247214,55 0b 00 04 03 06 00 00 b0 41
250196,55 0a 00 04 03 07 01 01 02 dc
252184,55 0b 00 04 03 06 00 00 00 40
252283,55 0a 00 04 03 07 01 01 03 1d
