millis,raw_data_hex
3728,55 08 00 04 05 02 0f 4f 18 55
3888,55 16 00 04 01 02 47 32 34 56
4077,55 08 00 03 04 0c 03 1b c9 55
4186,55 0a 00 04 03 05 01 00 ff 1d
4384,55 0b 00 04 03 06 00 00 80 3f
4484,55 0a 00 04 03 07 01 01 01 9c
4854,55 0a 00 04 03 05 01 01 01 9d
4953,55 0a 00 04 03 05 01 01 01 9d
5251,55 0a 00 04 03 07 01 01 03 1d
6343,55 0a 00 04 03 07 01 01 02 dc
8726,55 0b 00 04 03 06 00 00 88 41
8825,55 0a 00 04 03 07 01 01 03 1d
9719,55 0a 00 04 03 07 01 01 01 9c
10216,55 0a 00 04 03 07 01 01 03 1d
13691,55 0b 00 04 03 06 00 00 20 41
14684,55 0a 00 04 03 07 01 01 02 dc
15677,55 0a 00 04 03 07 01 01 03 1d
16174,55 0a 00 04 03 07 01 01 02 dc
18657,55 0b 00 04 03 06 00 00 00 40
23623,55 0b 00 04 03 06 00 00 00 40
26105,55 0a 00 04 03 07 01 01 01 9c
26602,55 0a 00 04 03 07 01 01 02 dc
27595,55 0a 00 04 03 07 01 01 01 9c
28092,55 0a 00 04 03 07 01 01 03 1d
28588,55 0b 00 04 03 06 00 00 00 40
28687,55 0a 00 04 03 07 01 01 02 dc
29581,55 0a 00 04 03 07 01 01 03 1d
33057,55 0a 00 04 03 07 01 01 02 dc
33554,55 0b 00 04 03 06 00 00 00 40
34548,55 0a 00 04 03 07 01 01 01 9c
35044,55 0a 00 04 03 07 01 01 02 dc
38521,55 0b 00 04 03 06 00 00 00 40
39017,55 0a 00 04 03 07 01 01 01 9c
39514,55 0a 00 04 03 07 01 01 03 1d
40010,55 0a 00 04 03 07 01 01 02 dc
41004,55 0a 00 04 03 07 01 01 03 1d
43487,55 0b 00 04 03 06 00 00 2c 42
48454,55 0b 00 04 03 06 00 00 00 40
48553,55 0a 00 04 03 07 01 01 01 9c
48950,55 0a 00 04 03 07 01 01 03 1d
51434,55 0a 00 04 03 07 01 01 02 dc
52924,55 0a 00 04 03 07 01 01 03 1d
53519,55 0b 00 04 03 06 00 00 80 3f
54016,55 0a 00 04 03 07 01 01 02 dc
54414,55 0a 00 04 03 07 01 01 03 1d
55506,55 0a 00 04 03 07 01 01 02 dc
58387,55 0b 00 04 03 06 00 00 00 40
62360,55 0a 00 04 03 07 01 01 03 1d
62857,55 0a 00 04 03 07 01 01 02 dc
63354,55 0b 00 04 03 06 00 00 00 40
64446,55 0a 00 04 03 07 01 01 03 1d
68320,55 0b 00 04 03 06 00 00 80 3f
68916,55 0a 00 04 03 07 01 01 02 dc
73287,55 0b 00 04 03 06 00 00 00 40
73883,55 0a 00 04 03 07 01 01 03 1d
76268,55 0a 00 04 03 07 01 01 01 9c
76765,55 0a 00 04 03 07 01 01 03 1d
77758,55 0a 00 04 03 07 01 01 02 dc
78255,55 0b 00 04 03 06 00 00 00 40
80738,55 0a 00 04 03 07 01 01 03 1d
82725,55 0a 00 04 03 07 01 01 02 dc
83222,55 0b 00 04 03 06 00 00 00 40
87692,55 0a 00 04 03 07 01 01 01 9c
88189,55 0b 00 04 03 06 00 00 00 40
88288,55 0a 00 04 03 07 01 01 03 1d
89182,55 0a 00 04 03 07 01 01 01 9c
89678,55 0a 00 04 03 07 01 01 02 dc
92262,55 0a 00 04 03 07 01 01 01 9c
93156,55 0b 00 04 03 06 00 00 00 40
93255,55 0a 00 04 03 07 01 01 02 dc
97130,55 0a 00 04 03 07 01 01 03 1d
98123,55 0b 00 04 03 06 00 00 80 3f
103090,55 0b 00 04 03 06 00 00 20 41
108157,55 0b 00 04 03 06 00 00 c8 42
113124,55 0b 00 04 03 06 00 00 00 40
113521,55 0a 00 04 03 07 01 01 02 dc
115508,55 0a 00 04 03 07 01 01 03 1d
117992,55 0b 00 04 03 06 00 00 80 3f
118091,55 0a 00 04 03 07 01 01 02 dc
118489,55 0a 00 04 03 07 01 01 03 1d
120078,55 0a 00 04 03 07 01 01 02 dc
121072,55 0a 00 04 03 07 01 01 03 1d
121966,55 0a 00 04 03 07 01 01 01 9c
122462,55 0a 00 04 03 07 01 01 02 dc
122959,55 0b 00 04 03 06 00 00 00 40
126933,55 0a 00 04 03 07 01 01 03 1d
127430,55 0a 00 04 03 07 01 01 02 dc
127927,55 0b 00 04 03 06 00 00 00 40
132000,55 0a 00 04 03 07 01 01 03 1d
132497,55 0a 00 04 03 07 01 01 02 dc
132894,55 0b 00 04 03 06 00 00 00 40
135875,55 0a 00 04 03 07 01 01 03 1d
136471,55 0a 00 04 03 07 01 01 01 9c
136869,55 0a 00 04 03 07 01 01 02 dc
137862,55 0b 00 04 03 06 00 00 00 40
139849,55 0a 00 04 03 07 01 01 03 1d
140839,55 0a 00 04 03 07 01 01 02 dc
142830,55 0b 00 04 03 06 00 00 00 40
147797,55 0b 00 04 03 06 00 00 00 40
152765,55 0b 00 04 03 06 00 00 00 40
153261,55 0a 00 04 03 07 01 01 03 1d
154752,55 0a 00 04 03 07 01 01 02 dc
156242,55 0a 00 04 03 07 01 01 03 1d
157832,55 0b 00 04 03 06 00 00 18 42
160216,55 0a 00 04 03 07 01 01 02 dc
161210,55 0a 00 04 03 07 01 01 01 9c
162203,55 0a 00 04 03 07 01 01 02 dc
162700,55 0b 00 04 03 06 00 00 c8 42
162799,55 0a 00 04 03 07 01 01 03 1d
167667,55 0b 00 04 03 06 00 00 00 40
168164,55 0a 00 04 03 07 01 01 02 dc
172635,55 0b 00 04 03 06 00 00 00 40
177603,55 0b 00 04 03 06 00 00 00 40
178596,55 0a 00 04 03 07 01 01 03 1d
179093,55 0a 00 04 03 07 01 01 02 dc
180583,55 0a 00 04 03 07 01 01 03 1d
182570,55 0b 00 04 03 06 00 00 88 42
182670,55 0a 00 04 03 07 01 01 01 9c
183067,55 0a 00 04 03 07 01 01 03 1d
187538,55 0b 00 04 03 06 00 00 80 3f
192505,55 0b 00 04 03 06 00 00 80 3f
193498,55 0a 00 04 03 07 01 01 01 9c
194492,55 0a 00 04 03 07 01 01 03 1d
197473,55 0b 00 04 03 06 00 00 80 3f
198565,55 0a 00 04 03 07 01 01 01 9c
198963,55 0a 00 04 03 07 01 01 02 dc
200950,55 0a 00 04 03 07 01 01 03 1d
202440,55 0b 00 04 03 06 00 00 6c 42
202539,55 0a 00 04 03 07 01 01 02 dc
203433,55 0a 00 04 03 07 01 01 03 1d
207507,55 0b 00 04 03 06 00 00 c8 41
207606,55 0a 00 04 03 07 01 01 02 dc
208500,55 0a 00 04 03 07 01 01 03 1d
209990,55 0a 00 04 03 07 01 01 01 9c
210388,55 0a 00 04 03 07 01 01 02 dc
210885,55 0a 00 04 03 07 01 01 03 1d
212375,55 0b 00 04 03 06 00 00 00 40
213368,55 0a 00 04 03 07 01 01 01 9c
213865,55 0a 00 04 03 07 01 01 02 dc
215355,55 0a 00 04 03 07 01 01 03 1d
217343,55 0b 00 04 03 06 00 00 80 3f
219827,55 0a 00 04 03 07 01 01 02 dc
222410,55 0b 00 04 03 06 00 00 80 3f
222509,55 0a 00 04 03 07 01 01 03 1d
225291,55 0a 00 04 03 07 01 01 02 dc
227278,55 0b 00 04 03 06 00 00 00 40
232246,55 0b 00 04 03 06 00 00 00 40
235723,55 0a 00 04 03 07 01 01 03 1d
236220,55 0a 00 04 03 07 01 01 01 9c
236717,55 0a 00 04 03 07 01 01 02 dc
237214,55 0b 00 04 03 06 00 00 90 41
237313,55 0a 00 04 03 07 01 01 03 1d
242181,55 0b 00 04 03 06 00 00 20 41
245659,55 0a 00 04 03 07 01 01 02 dc
247149,55 0b 00 04 03 06 00 00 00 40
250129,55 0a 00 04 03 07 01 01 03 1d
250626,55 0a 00 04 03 07 01 01 02 dc
251620,55 0a 00 04 03 07 01 01 03 1d
252216,55 0b 00 04 03 06 00 00 80 3f
256091,55 0a 00 04 03 07 01 01 02 dc
257084,55 0b 00 04 03 06 00 00 00 40
258078,55 0a 00 04 03 07 01 01 03 1d
258575,55 0a 00 04 03 07 01 01 01 9c
259072,55 0a 00 04 03 07 01 01 03 1d
262052,55 0b 00 04 03 06 00 00 00 40
267119,55 0b 00 04 03 06 00 00 00 40
268014,55 0a 00 04 03 07 01 01 02 dc
272086,55 0b 00 04 03 06 00 00 80 3f
272186,55 0a 00 04 03 07 01 01 01 9c
272583,55 0a 00 04 03 07 01 01 02 dc
276955,55 0b 00 04 03 06 00 00 00 40
282022,55 0b 00 04 03 06 00 00 80 3f
282122,55 0a 00 04 03 07 01 01 03 1d
282519,55 0a 00 04 03 07 01 01 02 dc
286394,55 0a 00 04 03 07 01 01 01 9c
286891,55 0b 00 04 03 06 00 00 00 40
286990,55 0a 00 04 03 07 01 01 02 dc
288878,55 0a 00 04 03 07 01 01 03 1d
291859,55 0b 00 04 03 06 00 00 80 3f
293349,55 0a 00 04 03 07 01 01 01 9c
293846,55 0a 00 04 03 07 01 01 03 1d
294839,55 0a 00 04 03 07 01 01 01 9c
295336,55 0a 00 04 03 07 01 01 02 dc
295833,55 0a 00 04 03 07 01 01 01 9c
296826,55 0b 00 04 03 06 00 00 00 40
296926,55 0a 00 04 03 07 01 01 02 dc
297323,55 0a 00 04 03 07 01 01 01 9c
297820,55 0a 00 04 03 07 01 01 02 dc
301794,55 0b 00 04 03 06 00 00 00 40
306761,55 0b 00 04 03 06 00 00 00 40
311729,55 0b 00 04 03 06 00 00 00 40
315703,55 0a 00 04 03 07 01 01 03 1d
316697,55 0b 00 04 03 06 00 00 80 3f
317690,55 0a 00 04 03 07 01 01 02 dc
320770,55 0a 00 04 03 07 01 01 03 1d
321664,55 0b 00 04 03 06 00 00 98 41
326632,55 0b 00 04 03 06 00 00 00 40
326731,55 0a 00 04 03 07 01 01 02 dc
331599,55 0b 00 04 03 06 00 00 00 40
336567,55 0b 00 04 03 06 00 00 00 40
339548,55 0a 00 04 03 07 01 01 03 1d
341535,55 0b 00 04 03 06 00 00 08 42
343025,55 0a 00 04 03 07 01 01 02 dc
344516,55 0a 00 04 03 07 01 01 03 1d
346503,55 0b 00 04 03 06 00 00 40 41
346602,55 0a 00 04 03 07 01 01 02 dc
346999,55 0a 00 04 03 07 01 01 01 9c
347496,55 0a 00 04 03 07 01 01 03 1d
348490,55 0a 00 04 03 07 01 01 01 9c
348986,55 0a 00 04 03 07 01 01 02 dc
349483,55 0a 00 04 03 07 01 01 03 1d
351470,55 0b 00 04 03 06 00 00 b4 42
356438,55 0b 00 04 03 06 00 00 80 3f
356935,55 0a 00 04 03 07 01 01 02 dc
357531,55 0a 00 04 03 07 01 01 03 1d
361406,55 0b 00 04 03 06 00 00 b0 42
364386,55 0a 00 04 03 07 01 01 02 dc
364883,55 0a 00 04 03 07 01 01 03 1d
366373,55 0b 00 04 03 06 00 00 80 3f
371440,55 0b 00 04 03 06 00 00 20 41
371937,55 0a 00 04 03 07 01 01 01 9c
372931,55 0a 00 04 03 07 01 01 03 1d
374918,55 0a 00 04 03 07 01 01 01 9c
375315,55 0a 00 04 03 07 01 01 03 1d
376309,55 0b 00 04 03 06 00 00 c8 42
381276,55 0b 00 04 03 06 00 00 80 3f
386244,55 0b 00 04 03 06 00 00 80 3f
391311,55 0b 00 04 03 06 00 00 80 3f
392206,55 0a 00 04 03 07 01 01 02 dc
393298,55 0a 00 04 03 07 01 01 01 9c
393696,55 0a 00 04 03 07 01 01 03 1d
396179,55 0b 00 04 03 06 00 00 80 3f
400650,55 0a 00 04 03 07 01 01 01 9c
401147,55 0b 00 04 03 06 00 00 20 41
401643,55 0a 00 04 03 07 01 01 02 dc
403134,55 0a 00 04 03 07 01 01 03 1d
406213,55 0b 00 04 03 06 00 00 00 40
407107,55 0a 00 04 03 07 01 01 01 9c
407604,55 0a 00 04 03 07 01 01 03 1d
411081,55 0b 00 04 03 06 00 00 00 40
416048,55 0b 00 04 03 06 00 00 00 40
417638,55 0a 00 04 03 07 01 01 02 dc
418035,55 0a 00 04 03 07 01 01 01 9c
418532,55 0a 00 04 03 07 01 01 03 1d
419525,55 0a 00 04 03 07 01 01 01 9c
420121,55 0a 00 04 03 07 01 01 03 1d
421114,55 0b 00 04 03 06 00 00 00 40
421512,55 0a 00 04 03 07 01 01 02 dc
422009,55 0a 00 04 03 07 01 01 03 1d
424989,55 0a 00 04 03 07 01 01 02 dc
425983,55 0b 00 04 03 06 00 00 60 41
426082,55 0a 00 04 03 07 01 01 03 1d
431049,55 0b 00 04 03 06 00 00 80 3f
435917,55 0b 00 04 03 06 00 00 30 42
436911,55 0a 00 04 03 07 01 01 01 9c
437407,55 0a 00 04 03 07 01 01 03 1d
439990,55 0a 00 04 03 07 01 01 01 9c
440884,55 0b 00 04 03 06 00 00 80 3f
440984,55 0a 00 04 03 07 01 01 03 1d
442474,55 0a 00 04 03 07 01 01 01 9c
442871,55 0a 00 04 03 07 01 01 03 1d
444858,55 0a 00 04 03 07 01 01 02 dc
445852,55 0b 00 04 03 06 00 00 00 40
446845,55 0a 00 04 03 07 01 01 01 9c
447441,55 0a 00 04 03 07 01 01 03 1d
450819,55 0b 00 04 03 06 00 00 00 40
450918,55 0a 00 04 03 07 01 01 02 dc
452309,55 0a 00 04 03 07 01 01 01 9c
452806,55 0a 00 04 03 07 01 01 03 1d
453303,55 0a 00 04 03 07 01 01 02 dc
454793,55 0a 00 04 03 07 01 01 03 1d
455886,55 0b 00 04 03 06 00 00 00 40
460754,55 0b 00 04 03 06 00 00 80 3f
463735,55 0a 00 04 03 07 01 01 02 dc
464231,55 0a 00 04 03 07 01 01 01 9c
464728,55 0a 00 04 03 07 01 01 03 1d
465821,55 0b 00 04 03 06 00 00 a8 41
465920,55 0a 00 04 03 07 01 01 02 dc
466218,55 0a 00 04 03 07 01 01 01 9c
466814,55 0a 00 04 03 07 01 01 03 1d
470689,55 0b 00 04 03 06 00 00 80 3f
475756,55 0b 00 04 03 06 00 00 00 40
476153,55 0a 00 04 03 07 01 01 02 dc
479631,55 0a 00 04 03 07 01 01 03 1d
480723,55 0b 00 04 03 06 00 00 80 3f
482611,55 0a 00 04 03 07 01 01 02 dc
483108,55 0a 00 04 03 07 01 01 03 1d
485691,55 0b 00 04 03 06 00 00 80 3f
487082,55 0a 00 04 03 07 01 01 02 dc
488075,55 0a 00 04 03 07 01 01 03 1d
490559,55 0b 00 04 03 06 00 00 80 3f
494135,55 0a 00 04 03 07 01 01 02 dc
495526,55 0b 00 04 03 06 00 00 00 40
495625,55 0a 00 04 03 07 01 01 03 1d
497016,55 0a 00 04 03 07 01 01 01 9c
497513,55 0a 00 04 03 07 01 01 03 1d
499003,55 0a 00 04 03 07 01 01 01 9c
499500,55 0a 00 04 03 07 01 01 03 1d
500494,55 0b 00 04 03 06 00 00 80 3f
505560,55 0b 00 04 03 06 00 00 80 3f
510428,55 0b 00 04 03 06 00 00 80 3f
515396,55 0b 00 04 03 06 00 00 c8 42
520364,55 0b 00 04 03 06 00 00 80 3f
525331,55 0b 00 04 03 06 00 00 00 40
527417,55 0a 00 04 03 07 01 01 02 dc
529305,55 0a 00 04 03 07 01 01 01 9c
529802,55 0a 00 04 03 07 01 01 03 1d
530298,55 0b 00 04 03 06 00 00 a8 41
535266,55 0b 00 04 03 06 00 00 c0 42
540233,55 0b 00 04 03 06 00 00 90 41
545200,55 0b 00 04 03 06 00 00 80 3f
550167,55 0b 00 04 03 06 00 00 80 3f
555135,55 0b 00 04 03 06 00 00 80 3f
560102,55 0b 00 04 03 06 00 00 80 3f
565070,55 0b 00 04 03 06 00 00 80 3f
570137,55 0b 00 04 03 06 00 00 c8 42
575005,55 0b 00 04 03 06 00 00 80 3f
578085,55 0a 00 04 03 07 01 01 01 9c
578483,55 0a 00 04 03 07 01 01 02 dc
578979,55 0a 00 04 03 07 01 01 01 9c
579476,55 0a 00 04 03 07 01 01 03 1d
579973,55 0b 00 04 03 06 00 00 00 40
584940,55 0b 00 04 03 06 00 00 80 3f
589908,55 0b 00 04 03 06 00 00 be 42
594379,55 0a 00 04 03 07 01 01 01 9c
594875,55 0b 00 04 03 06 00 00 34 42
594975,55 0a 00 04 03 07 01 01 03 1d
596862,55 0a 00 04 03 07 01 01 02 dc
597856,55 0a 00 04 03 07 01 01 03 1d
599843,55 0b 00 04 03 06 00 00 80 3f
