millis,raw_data_hex
3730,55 08 00 04 05 02 0f 4f 18 55
3896,55 16 00 04 01 02 47 32 34 56
4085,55 08 00 03 04 0c 03 1b c9 55
4194,55 0a 00 04 03 05 01 00 ff 1d
4392,55 0b 00 04 03 06 00 00 80 3f
4492,55 0a 00 04 03 07 01 01 01 9c
4862,55 0a 00 04 03 05 01 01 01 9d
4962,55 0a 00 04 03 05 01 01 01 9d
5260,55 0a 00 04 03 07 01 01 03 1d
8240,55 0a 00 04 03 07 01 01 01 9c
8736,55 0b 00 04 03 06 00 00 0c 42
9233,55 0a 00 04 03 07 01 01 03 1d
13207,55 0a 00 04 03 07 01 01 02 dc
13704,55 0b 00 04 03 06 00 00 00 40
14200,55 0a 00 04 03 07 01 01 03 1d
18175,55 0a 00 04 03 07 01 01 01 9c
18671,55 0b 00 04 03 06 00 00 00 40
19168,55 0a 00 04 03 07 01 01 03 1d
20162,55 0a 00 04 03 07 01 01 01 9c
20659,55 0a 00 04 03 07 01 01 02 dc
21155,55 0a 00 04 03 07 01 01 03 1d
23639,55 0b 00 04 03 06 00 00 00 40
23739,55 0a 00 04 03 07 01 01 01 9c
24136,55 0a 00 04 03 07 01 01 02 dc
28607,55 0b 00 04 03 06 00 00 00 40
29601,55 0a 00 04 03 07 01 01 01 9c
30098,55 0a 00 04 03 07 01 01 03 1d
33079,55 0a 00 04 03 07 01 01 01 9c
33576,55 0b 00 04 03 06 00 00 00 40
33675,55 0a 00 04 03 07 01 01 03 1d
36060,55 0a 00 04 03 07 01 01 02 dc
37053,55 0a 00 04 03 07 01 01 01 9c
37550,55 0a 00 04 03 07 01 01 02 dc
38544,55 0b 00 04 03 06 00 00 00 40
42022,55 0a 00 04 03 07 01 01 01 9c
43016,55 0a 00 04 03 07 01 01 03 1d
43513,55 0b 00 04 03 06 00 00 c8 42
47984,55 0a 00 04 03 07 01 01 02 dc
48481,55 0b 00 04 03 06 00 00 20 41
53450,55 0b 00 04 03 06 00 00 00 40
53549,55 0a 00 04 03 07 01 01 03 1d
54444,55 0a 00 04 03 07 01 01 01 9c
54941,55 0a 00 04 03 07 01 01 02 dc
55935,55 0a 00 04 03 07 01 01 03 1d
56432,55 0a 00 04 03 07 01 01 02 dc
58419,55 0b 00 04 03 06 00 00 40 41
58518,55 0a 00 04 03 07 01 01 03 1d
59413,55 0a 00 04 03 07 01 01 02 dc
63388,55 0b 00 04 03 06 00 00 00 40
63885,55 0a 00 04 03 07 01 01 03 1d
68357,55 0b 00 04 03 06 00 00 00 40
68854,55 0a 00 04 03 07 01 01 02 dc
69351,55 0a 00 04 03 07 01 01 03 1d
73327,55 0b 00 04 03 06 00 00 c8 42
73426,55 0a 00 04 03 07 01 01 02 dc
73824,55 0a 00 04 03 07 01 01 03 1d
78296,55 0b 00 04 03 06 00 00 c8 42
82769,55 0a 00 04 03 07 01 01 01 9c
83266,55 0b 00 04 03 06 00 00 00 40
83365,55 0a 00 04 03 07 01 01 03 1d
83763,55 0a 00 04 03 07 01 01 02 dc
84757,55 0a 00 04 03 07 01 01 01 9c
85253,55 0a 00 04 03 07 01 01 03 1d
86247,55 0a 00 04 03 07 01 01 01 9c
86744,55 0a 00 04 03 07 01 01 03 1d
87738,55 0a 00 04 03 07 01 01 02 dc
88235,55 0b 00 04 03 06 00 00 00 40
89726,55 0a 00 04 03 07 01 01 01 9c
90223,55 0a 00 04 03 07 01 01 03 1d
91217,55 0a 00 04 03 07 01 01 02 dc
92211,55 0a 00 04 03 07 01 01 03 1d
93205,55 0b 00 04 03 06 00 00 20 41
93304,55 0a 00 04 03 07 01 01 02 dc
97678,55 0a 00 04 03 07 01 01 03 1d
98175,55 0b 00 04 03 06 00 00 00 40
98672,55 0a 00 04 03 07 01 01 01 9c
99169,55 0a 00 04 03 07 01 01 03 1d
100163,55 0a 00 04 03 07 01 01 02 dc
102647,55 0a 00 04 03 07 01 01 01 9c
103144,55 0b 00 04 03 06 00 00 00 40
103244,55 0a 00 04 03 07 01 01 02 dc
106126,55 0a 00 04 03 07 01 01 01 9c
106623,55 0a 00 04 03 07 01 01 03 1d
107120,55 0a 00 04 03 07 01 01 01 9c
107617,55 0a 00 04 03 07 01 01 03 1d
108114,55 0b 00 04 03 06 00 00 54 42
111096,55 0a 00 04 03 07 01 01 01 9c
111593,55 0a 00 04 03 07 01 01 02 dc
112587,55 0a 00 04 03 07 01 01 01 9c
113083,55 0b 00 04 03 06 00 00 f0 41
113183,55 0a 00 04 03 07 01 01 03 1d
114574,55 0a 00 04 03 07 01 01 02 dc
115568,55 0a 00 04 03 07 01 01 03 1d
116065,55 0a 00 04 03 07 01 01 01 9c
116562,55 0a 00 04 03 07 01 01 02 dc
117059,55 0a 00 04 03 07 01 01 03 1d
118053,55 0b 00 04 03 06 00 00 00 40
118152,55 0a 00 04 03 07 01 01 01 9c
118550,55 0a 00 04 03 07 01 01 02 dc
120041,55 0a 00 04 03 07 01 01 03 1d
120538,55 0a 00 04 03 07 01 01 02 dc
121532,55 0a 00 04 03 07 01 01 01 9c
122028,55 0a 00 04 03 07 01 01 02 dc
123022,55 0b 00 04 03 06 00 00 00 40
126998,55 0a 00 04 03 07 01 01 03 1d
127495,55 0a 00 04 03 07 01 01 01 9c
127992,55 0b 00 04 03 06 00 00 00 40
128091,55 0a 00 04 03 07 01 01 02 dc
132962,55 0b 00 04 03 06 00 00 00 40
137931,55 0b 00 04 03 06 00 00 20 41
138031,55 0a 00 04 03 07 01 01 03 1d
139422,55 0a 00 04 03 07 01 01 02 dc
141410,55 0a 00 04 03 07 01 01 01 9c
141907,55 0a 00 04 03 07 01 01 03 1d
142901,55 0b 00 04 03 06 00 00 00 40
144392,55 0a 00 04 03 07 01 01 01 9c
144889,55 0a 00 04 03 07 01 01 03 1d
145386,55 0a 00 04 03 07 01 01 02 dc
146380,55 0a 00 04 03 07 01 01 01 9c
146877,55 0a 00 04 03 07 01 01 03 1d
147374,55 0a 00 04 03 07 01 01 01 9c
147871,55 0b 00 04 03 06 00 00 00 40
147970,55 0a 00 04 03 07 01 01 02 dc
148865,55 0a 00 04 03 07 01 01 03 1d
151350,55 0a 00 04 03 07 01 01 02 dc
152344,55 0a 00 04 03 07 01 01 03 1d
152841,55 0b 00 04 03 06 00 00 00 40
153338,55 0a 00 04 03 07 01 01 02 dc
155823,55 0a 00 04 03 07 01 01 03 1d
157811,55 0b 00 04 03 06 00 00 9a 42
162880,55 0b 00 04 03 06 00 00 00 40
162980,55 0a 00 04 03 07 01 01 01 9c
163278,55 0a 00 04 03 07 01 01 02 dc
167254,55 0a 00 04 03 07 01 01 03 1d
167751,55 0b 00 04 03 06 00 00 00 40
167850,55 0a 00 04 03 07 01 01 01 9c
169739,55 0a 00 04 03 07 01 01 03 1d
170236,55 0a 00 04 03 07 01 01 01 9c
170733,55 0a 00 04 03 07 01 01 02 dc
171230,55 0a 00 04 03 07 01 01 03 1d
172224,55 0a 00 04 03 07 01 01 02 dc
172721,55 0b 00 04 03 06 00 00 00 40
177691,55 0b 00 04 03 06 00 00 f0 41
179679,55 0a 00 04 03 07 01 01 03 1d
182661,55 0b 00 04 03 06 00 00 00 40
182760,55 0a 00 04 03 07 01 01 02 dc
183158,55 0a 00 04 03 07 01 01 03 1d
187631,55 0b 00 04 03 06 00 00 c8 42
192601,55 0b 00 04 03 06 00 00 88 42
197571,55 0b 00 04 03 06 00 00 c8 42
202041,55 0a 00 04 03 07 01 01 02 dc
202542,55 0b 00 04 03 06 00 00 00 40
202641,55 0a 00 04 03 07 01 01 01 9c
203039,55 0a 00 04 03 07 01 01 03 1d
203536,55 0a 00 04 03 07 01 01 02 dc
204033,55 0a 00 04 03 07 01 01 03 1d
207512,55 0b 00 04 03 06 00 00 00 40
210992,55 0a 00 04 03 07 01 01 01 9c
211489,55 0a 00 04 03 07 01 01 03 1d
