millis,raw_data_hex
3730,55 08 00 04 05 02 0f 4f 18 55
3893,55 16 00 04 01 02 47 32 34 56
4082,55 08 00 03 04 0c 03 1b c9 55
4191,55 0a 00 04 03 05 01 00 ff 1d
4389,55 0b 00 04 03 06 00 00 80 3f
4489,55 0a 00 04 03 07 01 01 01 9c
4859,55 0a 00 04 03 05 01 01 01 9d
4958,55 0a 00 04 03 05 01 01 01 9d
5753,55 0a 00 04 03 07 01 01 03 1d
8733,55 0b 00 04 03 06 00 00 00 40
10719,55 0a 00 04 03 07 01 01 02 dc
13699,55 0b 00 04 03 06 00 00 00 40
13798,55 0a 00 04 03 07 01 01 03 1d
14692,55 0a 00 04 03 07 01 01 01 9c
15189,55 0a 00 04 03 07 01 01 02 dc
17176,55 0a 00 04 03 07 01 01 01 9c
17673,55 0a 00 04 03 07 01 01 03 1d
18666,55 0b 00 04 03 06 00 00 00 40
19659,55 0a 00 04 03 07 01 01 02 dc
21646,55 0a 00 04 03 07 01 01 03 1d
23633,55 0b 00 04 03 06 00 00 00 40
24130,55 0a 00 04 03 07 01 01 01 9c
24627,55 0a 00 04 03 07 01 01 02 dc
25620,55 0a 00 04 03 07 01 01 03 1d
27110,55 0a 00 04 03 07 01 01 02 dc
28601,55 0b 00 04 03 06 00 00 00 40
29098,55 0a 00 04 03 07 01 01 03 1d
29594,55 0a 00 04 03 07 01 01 01 9c
30588,55 0a 00 04 03 07 01 01 02 dc
31581,55 0a 00 04 03 07 01 01 01 9c
32078,55 0a 00 04 03 07 01 01 02 dc
33072,55 0a 00 04 03 07 01 01 01 9c
33568,55 0b 00 04 03 06 00 00 30 41
33668,55 0a 00 04 03 07 01 01 02 dc
34562,55 0a 00 04 03 07 01 01 03 1d
38536,55 0b 00 04 03 06 00 00 00 40
39530,55 0a 00 04 03 07 01 01 01 9c
40027,55 0a 00 04 03 07 01 01 02 dc
41020,55 0a 00 04 03 07 01 01 03 1d
42511,55 0a 00 04 03 07 01 01 02 dc
43505,55 0b 00 04 03 06 00 00 00 40
43604,55 0a 00 04 03 07 01 01 03 1d
44498,55 0a 00 04 03 07 01 01 02 dc
44995,55 0a 00 04 03 07 01 01 03 1d
46982,55 0a 00 04 03 07 01 01 02 dc
48473,55 0b 00 04 03 06 00 00 20 41
50957,55 0a 00 04 03 07 01 01 03 1d
51950,55 0a 00 04 03 07 01 01 01 9c
52447,55 0a 00 04 03 07 01 01 03 1d
53441,55 0b 00 04 03 06 00 00 00 40
53540,55 0a 00 04 03 07 01 01 02 dc
54932,55 0a 00 04 03 07 01 01 03 1d
55428,55 0a 00 04 03 07 01 01 01 9c
55925,55 0a 00 04 03 07 01 01 02 dc
56422,55 0a 00 04 03 07 01 01 03 1d
56919,55 0a 00 04 03 07 01 01 01 9c
57416,55 0a 00 04 03 07 01 01 02 dc
58409,55 0b 00 04 03 06 00 00 00 40
59403,55 0a 00 04 03 07 01 01 03 1d
59900,55 0a 00 04 03 07 01 01 02 dc
63378,55 0b 00 04 03 06 00 00 00 40
63477,55 0a 00 04 03 07 01 01 01 9c
64371,55 0a 00 04 03 07 01 01 02 dc
65862,55 0a 00 04 03 07 01 01 01 9c
66359,55 0a 00 04 03 07 01 01 02 dc
67849,55 0a 00 04 03 07 01 01 03 1d
68346,55 0b 00 04 03 06 00 00 00 40
68445,55 0a 00 04 03 07 01 01 02 dc
68843,55 0a 00 04 03 07 01 01 03 1d
70334,55 0a 00 04 03 07 01 01 01 9c
70831,55 0a 00 04 03 07 01 01 02 dc
71327,55 0a 00 04 03 07 01 01 03 1d
72321,55 0a 00 04 03 07 01 01 02 dc
73315,55 0b 00 04 03 06 00 00 20 41
73414,55 0a 00 04 03 07 01 01 01 9c
73812,55 0a 00 04 03 07 01 01 02 dc
75799,55 0a 00 04 03 07 01 01 01 9c
76296,55 0a 00 04 03 07 01 01 02 dc
77290,55 0a 00 04 03 07 01 01 03 1d
78283,55 0b 00 04 03 06 00 00 00 40
79277,55 0a 00 04 03 07 01 01 01 9c
79774,55 0a 00 04 03 07 01 01 02 dc
80768,55 0a 00 04 03 07 01 01 01 9c
81265,55 0a 00 04 03 07 01 01 03 1d
82258,55 0a 00 04 03 07 01 01 01 9c
82755,55 0a 00 04 03 07 01 01 02 dc
83252,55 0b 00 04 03 06 00 00 50 41
84246,55 0a 00 04 03 07 01 01 01 9c
84743,55 0a 00 04 03 07 01 01 03 1d
85240,55 0a 00 04 03 07 01 01 02 dc
88221,55 0b 00 04 03 06 00 00 90 41
89215,55 0a 00 04 03 07 01 01 03 1d
91699,55 0a 00 04 03 07 01 01 01 9c
92196,55 0a 00 04 03 07 01 01 03 1d
93190,55 0b 00 04 03 06 00 00 00 40
97165,55 0a 00 04 03 07 01 01 02 dc
98258,55 0b 00 04 03 06 00 00 80 3f
103128,55 0b 00 04 03 06 00 00 70 41
104122,55 0a 00 04 03 07 01 01 01 9c
104619,55 0a 00 04 03 07 01 01 02 dc
105116,55 0a 00 04 03 07 01 01 01 9c
105613,55 0a 00 04 03 07 01 01 03 1d
106606,55 0a 00 04 03 07 01 01 01 9c
107203,55 0a 00 04 03 07 01 01 03 1d
108097,55 0b 00 04 03 06 00 00 00 40
109091,55 0a 00 04 03 07 01 01 01 9c
109588,55 0a 00 04 03 07 01 01 03 1d
111079,55 0a 00 04 03 07 01 01 01 9c
