millis,raw_data_hex
3730,55 08 00 04 05 02 0f 4f 18 55
3893,55 16 00 04 01 02 47 32 34 56
4082,55 08 00 03 04 0c 03 1b c9 55
4191,55 0a 00 04 03 05 01 00 ff 1d
4390,55 0b 00 04 03 06 00 00 80 3f
4489,55 0a 00 04 03 07 01 01 01 9c
4860,55 0a 00 04 03 05 01 01 01 9d
4959,55 0a 00 04 03 05 01 01 01 9d
5257,55 0a 00 04 03 07 01 01 02 dc
6251,55 0a 00 04 03 07 01 01 03 1d
8734,55 0b 00 04 03 06 00 00 80 3f
9728,55 0a 00 04 03 07 01 01 02 dc
10225,55 0a 00 04 03 07 01 01 03 1d
11715,55 0a 00 04 03 07 01 01 01 9c
12311,55 0a 00 04 03 07 01 01 02 dc
13205,55 0a 00 04 03 07 01 01 01 9c
13702,55 0b 00 04 03 06 00 00 20 41
13801,55 0a 00 04 03 07 01 01 03 1d
14199,55 0a 00 04 03 07 01 01 01 9c
14695,55 0a 00 04 03 07 01 01 02 dc
15192,55 0a 00 04 03 07 01 01 01 9c
15788,55 0a 00 04 03 07 01 01 02 dc
18670,55 0b 00 04 03 06 00 00 20 41
18769,55 0a 00 04 03 07 01 01 03 1d
19166,55 0a 00 04 03 07 01 01 01 9c
19663,55 0a 00 04 03 07 01 01 02 dc
20657,55 0a 00 04 03 07 01 01 01 9c
21650,55 0a 00 04 03 07 01 01 02 dc
22644,55 0a 00 04 03 07 01 01 03 1d
23240,55 0a 00 04 03 07 01 01 02 dc
23638,55 0b 00 04 03 06 00 00 80 3f
26221,55 0a 00 04 03 07 01 01 03 1d
27612,55 0a 00 04 03 07 01 01 02 dc
28606,55 0b 00 04 03 06 00 00 00 40
29103,55 0a 00 04 03 07 01 01 03 1d
30096,55 0a 00 04 03 07 01 01 01 9c
30593,55 0a 00 04 03 07 01 01 02 dc
31587,55 0a 00 04 03 07 01 01 01 9c
33077,55 0a 00 04 03 07 01 01 02 dc
33574,55 0b 00 04 03 06 00 00 00 40
34568,55 0a 00 04 03 07 01 01 03 1d
36059,55 0a 00 04 03 07 01 01 02 dc
37052,55 0a 00 04 03 07 01 01 03 1d
38642,55 0b 00 04 03 06 00 00 00 40
38742,55 0a 00 04 03 07 01 01 01 9c
39040,55 0a 00 04 03 07 01 01 03 1d
40133,55 0a 00 04 03 07 01 01 02 dc
41027,55 0a 00 04 03 07 01 01 03 1d
41524,55 0a 00 04 03 07 01 01 02 dc
43511,55 0b 00 04 03 06 00 00 00 40
44008,55 0a 00 04 03 07 01 01 01 9c
44505,55 0a 00 04 03 07 01 01 03 1d
45002,55 0a 00 04 03 07 01 01 01 9c
45499,55 0a 00 04 03 07 01 01 02 dc
46095,55 0a 00 04 03 07 01 01 01 9c
46990,55 0a 00 04 03 07 01 01 02 dc
48480,55 0b 00 04 03 06 00 00 00 40
48977,55 0a 00 04 03 07 01 01 01 9c
49474,55 0a 00 04 03 07 01 01 03 1d
52952,55 0a 00 04 03 07 01 01 01 9c
53449,55 0b 00 04 03 06 00 00 00 40
53548,55 0a 00 04 03 07 01 01 02 dc
53946,55 0a 00 04 03 07 01 01 03 1d
58418,55 0b 00 04 03 06 00 00 80 3f
60406,55 0a 00 04 03 07 01 01 01 9c
60903,55 0a 00 04 03 07 01 01 02 dc
62394,55 0a 00 04 03 07 01 01 01 9c
62891,55 0a 00 04 03 07 01 01 03 1d
63388,55 0b 00 04 03 06 00 00 00 40
63885,55 0a 00 04 03 07 01 01 01 9c
64382,55 0a 00 04 03 07 01 01 02 dc
65475,55 0a 00 04 03 07 01 01 03 1d
66369,55 0a 00 04 03 07 01 01 02 dc
67463,55 0a 00 04 03 07 01 01 01 9c
67860,55 0a 00 04 03 07 01 01 03 1d
68357,55 0b 00 04 03 06 00 00 00 40
68854,55 0a 00 04 03 07 01 01 02 dc
69848,55 0a 00 04 03 07 01 01 01 9c
70345,55 0a 00 04 03 07 01 01 02 dc
73426,55 0b 00 04 03 06 00 00 00 40
73824,55 0a 00 04 03 07 01 01 01 9c
74321,55 0a 00 04 03 07 01 01 02 dc
74818,55 0a 00 04 03 07 01 01 01 9c
75314,55 0a 00 04 03 07 01 01 03 1d
76308,55 0a 00 04 03 07 01 01 01 9c
76805,55 0a 00 04 03 07 01 01 02 dc
78296,55 0b 00 04 03 06 00 00 00 40
78396,55 0a 00 04 03 07 01 01 01 9c
79290,55 0a 00 04 03 07 01 01 02 dc
83266,55 0b 00 04 03 06 00 00 80 3f
83862,55 0a 00 04 03 07 01 01 03 1d
85253,55 0a 00 04 03 07 01 01 01 9c
85850,55 0a 00 04 03 07 01 01 02 dc
88235,55 0b 00 04 03 06 00 00 00 40
89726,55 0a 00 04 03 07 01 01 03 1d
90223,55 0a 00 04 03 07 01 01 01 9c
90720,55 0a 00 04 03 07 01 01 02 dc
91713,55 0a 00 04 03 07 01 01 01 9c
92210,55 0a 00 04 03 07 01 01 02 dc
93204,55 0b 00 04 03 06 00 00 00 40
93304,55 0a 00 04 03 07 01 01 01 9c
94198,55 0a 00 04 03 07 01 01 02 dc
98174,55 0b 00 04 03 06 00 00 80 3f
103143,55 0b 00 04 03 06 00 00 20 41
104634,55 0a 00 04 03 07 01 01 01 9c
105131,55 0a 00 04 03 07 01 01 02 dc
108212,55 0b 00 04 03 06 00 00 00 40
