millis,raw_data_hex
3732,55 08 00 04 05 02 0f 4f 18 55
3894,55 16 00 04 01 02 47 32 34 56
4084,55 08 00 03 04 0c 03 1b c9 55
4193,55 0a 00 04 03 05 01 00 ff 1d
4391,55 0b 00 04 03 06 00 00 80 3f
4491,55 0a 00 04 03 07 01 01 01 9c
4861,55 0a 00 04 03 05 01 01 01 9d
4961,55 0a 00 04 03 05 01 01 01 9d
5259,55 0a 00 04 03 07 01 01 03 1d
8737,55 0b 00 04 03 06 00 00 b0 41
13805,55 0b 00 04 03 06 00 00 80 3f
18674,55 0b 00 04 03 06 00 00 00 40
23643,55 0b 00 04 03 06 00 00 d0 41
28613,55 0b 00 04 03 06 00 00 04 42
33582,55 0b 00 04 03 06 00 00 98 42
38552,55 0b 00 04 03 06 00 00 40 41
43522,55 0b 00 04 03 06 00 00 98 42
48492,55 0b 00 04 03 06 00 00 8c 42
53462,55 0b 00 04 03 06 00 00 00 40
58432,55 0b 00 04 03 06 00 00 00 40
63402,55 0b 00 04 03 06 00 00 c8 42
68472,55 0b 00 04 03 06 00 00 bc 42
73343,55 0b 00 04 03 06 00 00 c8 42
78313,55 0b 00 04 03 06 00 00 c8 42
83284,55 0b 00 04 03 06 00 00 00 40
88254,55 0b 00 04 03 06 00 00 00 40
93324,55 0b 00 04 03 06 00 00 80 3f
98195,55 0b 00 04 03 06 00 00 c8 42
103166,55 0b 00 04 03 06 00 00 00 40
108137,55 0b 00 04 03 06 00 00 c8 42
113207,55 0b 00 04 03 06 00 00 80 3f
118078,55 0b 00 04 03 06 00 00 c8 42
123049,55 0b 00 04 03 06 00 00 20 41
128019,55 0b 00 04 03 06 00 00 98 41
132990,55 0b 00 04 03 06 00 00 c8 42
137961,55 0b 00 04 03 06 00 00 d8 41
142932,55 0b 00 04 03 06 00 00 00 40
147903,55 0b 00 04 03 06 00 00 00 40
152973,55 0b 00 04 03 06 00 00 80 3f
157845,55 0b 00 04 03 06 00 00 00 40
162816,55 0b 00 04 03 06 00 00 00 40
167787,55 0b 00 04 03 06 00 00 00 40
172758,55 0b 00 04 03 06 00 00 00 40
177729,55 0b 00 04 03 06 00 00 8a 42
