millis,raw_data_hex
3730,55 08 00 04 05 02 0f 4f 18 55
3893,55 16 00 04 01 02 47 32 34 56
4082,55 08 00 03 04 0c 03 1b c9 55
4191,55 0a 00 04 03 05 01 00 ff 1d
4389,55 0b 00 04 03 06 00 00 80 3f
4489,55 0a 00 04 03 07 01 01 01 9c
4859,55 0a 00 04 03 05 01 01 01 9d
4958,55 0a 00 04 03 05 01 01 01 9d
5256,55 0a 00 04 03 07 01 01 03 1d
8733,55 0b 00 04 03 06 00 00 a4 42
13699,55 0b 00 04 03 06 00 00 c8 42
15189,55 0a 00 04 03 07 01 01 01 9c
15686,55 0a 00 04 03 07 01 01 03 1d
16183,55 0a 00 04 03 07 01 01 01 9c
17176,55 0a 00 04 03 07 01 01 03 1d
18169,55 0a 00 04 03 07 01 01 01 9c
18666,55 0b 00 04 03 06 00 00 00 40
18765,55 0a 00 04 03 07 01 01 03 1d
21149,55 0a 00 04 03 07 01 01 01 9c
21646,55 0a 00 04 03 07 01 01 03 1d
23633,55 0b 00 04 03 06 00 00 c8 41
28600,55 0b 00 04 03 06 00 00 00 40
33568,55 0b 00 04 03 06 00 00 00 40
36549,55 0a 00 04 03 07 01 01 02 dc
37046,55 0a 00 04 03 07 01 01 01 9c
37543,55 0a 00 04 03 07 01 01 03 1d
38537,55 0b 00 04 03 06 00 00 00 40
41021,55 0a 00 04 03 07 01 01 01 9c
41518,55 0a 00 04 03 07 01 01 03 1d
43505,55 0b 00 04 03 06 00 00 00 40
43604,55 0a 00 04 03 07 01 01 01 9c
44002,55 0a 00 04 03 07 01 01 02 dc
44499,55 0a 00 04 03 07 01 01 03 1d
48474,55 0b 00 04 03 06 00 00 c8 42
53442,55 0b 00 04 03 06 00 00 d0 41
54932,55 0a 00 04 03 07 01 01 02 dc
55926,55 0a 00 04 03 07 01 01 01 9c
56423,55 0a 00 04 03 07 01 01 03 1d
58410,55 0b 00 04 03 06 00 00 00 40
63379,55 0b 00 04 03 06 00 00 38 42
68348,55 0b 00 04 03 06 00 00 00 40
70832,55 0a 00 04 03 07 01 01 02 dc
71826,55 0a 00 04 03 07 01 01 03 1d
72819,55 0a 00 04 03 07 01 01 01 9c
73316,55 0b 00 04 03 06 00 00 00 40
73416,55 0a 00 04 03 07 01 01 03 1d
74310,55 0a 00 04 03 07 01 01 01 9c
74807,55 0a 00 04 03 07 01 01 03 1d
77788,55 0a 00 04 03 07 01 01 01 9c
78285,55 0b 00 04 03 06 00 00 00 40
78384,55 0a 00 04 03 07 01 01 02 dc
79776,55 0a 00 04 03 07 01 01 01 9c
80273,55 0a 00 04 03 07 01 01 03 1d
83254,55 0b 00 04 03 06 00 00 00 40
84247,55 0a 00 04 03 07 01 01 01 9c
84744,55 0a 00 04 03 07 01 01 03 1d
88222,55 0b 00 04 03 06 00 00 74 42
93191,55 0b 00 04 03 06 00 00 28 42
98159,55 0b 00 04 03 06 00 00 00 40
98259,55 0a 00 04 03 07 01 01 02 dc
99153,55 0a 00 04 03 07 01 01 03 1d
103128,55 0b 00 04 03 06 00 00 00 40
108097,55 0b 00 04 03 06 00 00 00 40
112072,55 0a 00 04 03 07 01 01 01 9c
112569,55 0a 00 04 03 07 01 01 03 1d
113066,55 0b 00 04 03 06 00 00 00 40
115053,55 0a 00 04 03 07 01 01 01 9c
115550,55 0a 00 04 03 07 01 01 03 1d
118035,55 0b 00 04 03 06 00 00 00 40
121016,55 0a 00 04 03 07 01 01 02 dc
122010,55 0a 00 04 03 07 01 01 03 1d
122507,55 0a 00 04 03 07 01 01 02 dc
123004,55 0b 00 04 03 06 00 00 00 40
123103,55 0a 00 04 03 07 01 01 01 9c
123998,55 0a 00 04 03 07 01 01 02 dc
124992,55 0a 00 04 03 07 01 01 03 1d
125488,55 0a 00 04 03 07 01 01 01 9c
126979,55 0a 00 04 03 07 01 01 03 1d
127973,55 0b 00 04 03 06 00 00 00 40
130955,55 0a 00 04 03 07 01 01 01 9c
131452,55 0a 00 04 03 07 01 01 02 dc
132943,55 0b 00 04 03 06 00 00 00 40
133440,55 0a 00 04 03 07 01 01 01 9c
133937,55 0a 00 04 03 07 01 01 02 dc
134930,55 0a 00 04 03 07 01 01 01 9c
135427,55 0a 00 04 03 07 01 01 02 dc
136421,55 0a 00 04 03 07 01 01 03 1d
136918,55 0a 00 04 03 07 01 01 02 dc
137912,55 0b 00 04 03 06 00 00 00 40
138011,55 0a 00 04 03 07 01 01 03 1d
139403,55 0a 00 04 03 07 01 01 02 dc
140397,55 0a 00 04 03 07 01 01 01 9c
140894,55 0a 00 04 03 07 01 01 03 1d
141391,55 0a 00 04 03 07 01 01 01 9c
141888,55 0a 00 04 03 07 01 01 03 1d
142881,55 0b 00 04 03 06 00 00 50 41
147851,55 0b 00 04 03 06 00 00 00 40
149342,55 0a 00 04 03 07 01 01 01 9c
150336,55 0a 00 04 03 07 01 01 03 1d
152821,55 0b 00 04 03 06 00 00 00 40
157790,55 0b 00 04 03 06 00 00 00 40
159778,55 0a 00 04 03 07 01 01 01 9c
160772,55 0a 00 04 03 07 01 01 03 1d
162760,55 0b 00 04 03 06 00 00 00 40
163754,55 0a 00 04 03 07 01 01 01 9c
164251,55 0a 00 04 03 07 01 01 03 1d
167729,55 0b 00 04 03 06 00 00 00 40
172699,55 0b 00 04 03 06 00 00 00 40
