millis,raw_data_hex
3727,55 08 00 04 05 02 0f 4f 18 55
3890,55 16 00 04 01 02 47 32 34 56
4079,55 08 00 03 04 0c 03 1b c9 55
4187,55 0a 00 04 03 05 01 00 ff 1d
4386,55 0b 00 04 03 06 00 00 80 3f
4485,55 0a 00 04 03 07 01 01 01 9c
7833,55 0a 00 04 03 05 01 01 01 9d
7932,55 0a 00 04 03 05 01 01 01 9d
8230,55 0a 00 04 03 07 01 01 03 1d
8726,55 0b 00 04 03 06 00 00 5c 42
13690,55 0b 00 04 03 06 00 00 e8 41
18654,55 0b 00 04 03 06 00 00 c8 42
23617,55 0b 00 04 03 06 00 00 80 3f
28581,55 0b 00 04 03 06 00 00 80 3f
31063,55 0a 00 04 03 07 01 01 01 9c
32156,55 0a 00 04 03 07 01 01 03 1d
33645,55 0b 00 04 03 06 00 00 00 40
38510,55 0b 00 04 03 06 00 00 b6 42
38609,55 0a 00 04 03 07 01 01 02 dc
39503,55 0a 00 04 03 07 01 01 03 1d
42978,55 0a 00 04 03 07 01 01 02 dc
43474,55 0b 00 04 03 06 00 00 00 40
43971,55 0a 00 04 03 07 01 01 03 1d
44963,55 0a 00 04 03 07 01 01 02 dc
45956,55 0a 00 04 03 07 01 01 03 1d
46949,55 0a 00 04 03 07 01 01 01 9c
47446,55 0a 00 04 03 07 01 01 02 dc
47942,55 0a 00 04 03 07 01 01 01 9c
48538,55 0b 00 04 03 06 00 00 80 3f
48637,55 0a 00 04 03 07 01 01 03 1d
50921,55 0a 00 04 03 07 01 01 02 dc
52013,55 0a 00 04 03 07 01 01 03 1d
53403,55 0b 00 04 03 06 00 00 00 40
54396,55 0a 00 04 03 07 01 01 02 dc
54893,55 0a 00 04 03 07 01 01 03 1d
57970,55 0a 00 04 03 07 01 01 01 9c
58367,55 0b 00 04 03 06 00 00 80 3f
59360,55 0a 00 04 03 07 01 01 02 dc
60850,55 0a 00 04 03 07 01 01 03 1d
62836,55 0a 00 04 03 07 01 01 02 dc
